"",BBK01.OEAF38Q,BBK01.OEAF38Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:09:34,
2002-01,0.588,
2002-04,0.600,
2002-07,0.599,
2002-10,0.567,
2003-01,0.573,
2003-04,0.597,
2003-07,0.569,
2003-10,0.596,
2004-01,0.583,
2004-04,0.642,
2004-07,0.645,
2004-10,0.654,
2005-01,0.656,
2005-04,0.654,
2005-07,0.758,
2005-10,0.761,
2006-01,0.768,
2006-04,0.781,
2006-07,0.833,
2006-10,0.750,
2007-01,0.745,
2007-04,0.727,
2007-07,0.714,
2007-10,0.708,
2008-01,0.693,
2008-04,0.699,
2008-07,0.668,
2008-10,0.670,
2009-01,0.708,
2009-04,0.687,
2009-07,0.709,
2009-10,0.718,
2010-01,0.727,
2010-04,0.695,
2010-07,0.637,
2010-10,0.660,
2011-01,0.646,
2011-04,0.637,
2011-07,0.632,
2011-10,0.596,
2012-01,0.609,
2012-04,0.611,
2012-07,0.610,
2012-10,0.623,
2013-01,0.625,
2013-04,0.641,
2013-07,0.639,
2013-10,0.645,
2014-01,0.642,
2014-04,0.655,
2014-07,0.659,
