"",BBEX3.M.TOP.EUR.CM.AB.A01,BBEX3.M.TOP.EUR.CM.AB.A01_FLAGS
"",Exchange rates and comparable rates for the euro in Tonga * / EUR 1 = TOP ... (selling),
unit,EUR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:21:27,
2006-01,0.3826,
2006-02,0.3907,
2006-03,0.3822,
2006-04,0.3783,
2006-05,0.3692,
2006-06,0.3637,
2006-07,0.3682,
2006-08,0.3714,
2006-09,0.3731,
2006-10,0.3753,
2006-11,0.3628,
2006-12,0.3631,
2007-01,0.3627,
2007-02,0.3595,
2007-03,0.3602,
2007-04,0.3552,
2007-05,0.3581,
2007-06,0.3652,
2007-07,0.3560,
2007-08,0.3476,
2007-09,0.3451,
2007-10,0.3447,
2007-11,0.3378,
2007-12,0.3438,
2008-01,0.3437,
2008-02,0.3459,
2008-03,0.3295,
2008-04,0.3321,
2008-05,0.3352,
2008-06,0.3279,
2008-07,0.3268,
2008-08,0.3350,
2008-09,0.3314,
2008-10,0.3436,
2008-11,0.3386,
2008-12,0.3154,
2009-01,0.3315,
2009-02,0.3328,
2009-03,0.3329,
2009-04,0.3371,
2009-05,0.3334,
2009-06,0.3354,
2009-07,0.3386,
2009-08,0.3397,
2009-09,0.3399,
2009-10,0.3402,
2009-11,0.3337,
2009-12,0.3479,
2010-01,0.3563,
2010-02,0.3637,
2010-03,0.3699,
2010-04,0.3699,
2010-05,0.3939,
2010-06,0.4001,
2010-07,0.3771,
2010-08,0.3862,
2010-09,0.3701,
2010-10,0.3673,
2010-11,0.3933,
2010-12,0.3971,
2011-01,0.3867,
2011-02,0.3814,
2011-03,0.3733,
2011-04,0.3674,
2011-05,0.3852,
2011-06,0.3904,
2011-07,0.4196,
2011-08,0.4067,
2011-09,0.4067,
2011-10,0.4075,
2011-11,0.4116,
2011-12,0.4256,
2012-01,0.4307,
2012-02,0.4223,
2012-03,0.4184,
2012-04,0.4215,
2012-05,0.4317,
2012-06,0.4366,
2012-07,0.4489,
2012-08,0.4391,
2012-09,0.4309,
2012-10,0.4257,
2012-11,0.4249,
2012-12,0.4132,
2013-01,0.4053,
2013-02,0.4165,
2013-03,0.4325,
2013-04,0.4228,
2013-05,0.4088,
2013-06,0.3988,
2013-07,0.3933,
2013-08,0.3864,
2013-09,0.3904,
2013-10,0.3845,
2013-11,0.3939,
2013-12,0.3853,
2014-01,0.3905,
2014-02,0.3869,
2014-03,0.3942,
2014-04,0.3912,
2014-05,0.3960,
2014-06,0.4003,
2014-07,0.4062,
2014-08,0.4061,
2014-09,0.4103,
2014-10,0.4094,
2014-11,0.4066,
2014-12,0.4142,
"","General: From 1999 to 2005 and since January 2015, only middle rates were reported; see BBEX3:M:TOP:EUR:CM:AC:A01.",
"","Source: August 2006 - December 2014 Westpac Bank of Tonga, Nuku'alofa January 2006 - July 2006 Australia and New Zealand Banking Group (ANZ), Nuku'alofa",
"","Methodology: * We only have data on euro exchange rates until October 2013. From November 2013 to December 2014, comparable values were calculated on the basis of the exchange rates for the US dollar in Tonga in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar; annual averages calculated on the basis of month-end exchange rates/month-end comparable rates.",
