"",BBK01.OEAE33R,BBK01.OEAE33R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:45,
2002-01,0.440,
2002-04,0.438,
2002-07,0.438,
2002-10,0.436,
2003-01,0.456,
2003-04,0.455,
2003-07,0.446,
2003-10,0.462,
2004-01,0.451,
2004-04,0.443,
2004-07,0.451,
2004-10,0.450,
2005-01,0.431,
2005-04,0.434,
2005-07,0.425,
2005-10,0.424,
2006-01,0.425,
2006-04,0.408,
2006-07,0.416,
2006-10,0.411,
2007-01,0.409,
2007-04,0.398,
2007-07,0.395,
2007-10,0.397,
2008-01,0.390,
2008-04,0.392,
2008-07,0.397,
2008-10,0.405,
2009-01,0.415,
2009-04,0.432,
2009-07,0.424,
2009-10,0.407,
2010-01,0.430,
2010-04,0.430,
2010-07,0.423,
2010-10,0.417,
2011-01,0.415,
2011-04,0.425,
2011-07,0.431,
2011-10,0.436,
2012-01,0.437,
2012-04,0.452,
2012-07,0.452,
2012-10,0.455,
2013-01,0.462,
2013-04,0.484,
2013-07,0.487,
2013-10,0.485,
2014-01,0.487,
2014-04,0.493,
2014-07,0.493,
