"",BBFN1.M.DE.N.1.L.CN.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CN.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"","Liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / China, People's Republic of",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:06,
1995-01,0.051,
1995-02,0.046,
1995-03,0.043,
1995-04,0.051,
1995-05,0.045,
1995-06,0.049,
1995-07,0.043,
1995-08,0.043,
1995-09,0.044,
1995-10,0.050,
1995-11,0.055,
1995-12,0.058,
1996-01,0.057,
1996-02,0.060,
1996-03,0.056,
1996-04,0.052,
1996-05,0.057,
1996-06,0.056,
1996-07,0.067,
1996-08,0.065,
1996-09,0.082,
1996-10,0.060,
1996-11,0.061,
1996-12,0.124,
1997-01,0.142,
1997-02,0.135,
1997-03,0.114,
1997-04,0.109,
1997-05,0.113,
1997-06,0.121,
1997-07,0.107,
1997-08,0.106,
1997-09,0.103,
1997-10,0.101,
1997-11,0.110,
1997-12,0.080,
1998-01,0.079,
1998-02,0.088,
1998-03,0.087,
1998-04,0.098,
1998-05,0.083,
1998-06,0.082,
1998-07,0.084,
1998-08,0.094,
1998-09,0.079,
1998-10,0.074,
1998-11,0.080,
1998-12,0.089,
1999-01,0.074,
1999-02,0.077,
1999-03,0.087,
1999-04,0.101,
1999-05,0.091,
1999-06,0.095,
1999-07,0.100,
1999-08,0.104,
1999-09,0.108,
1999-10,0.128,
1999-11,0.122,
1999-12,0.124,
2000-01,0.142,
2000-02,0.145,
2000-03,0.143,
2000-04,0.129,
2000-05,0.122,
2000-06,0.102,
2000-07,0.105,
2000-08,0.100,
2000-09,0.115,
2000-10,0.121,
2000-11,0.102,
2000-12,0.168,
2001-01,0.152,
2001-02,0.169,
2001-03,0.180,
2001-04,0.142,
2001-05,0.141,
2001-06,0.166,
2001-07,0.134,
2001-08,0.144,
2001-09,0.128,
2001-10,0.117,
2001-11,0.106,
2001-12,0.131,
2002-01,0.136,
2002-02,0.146,
2002-03,0.132,
2002-04,0.154,
2002-05,0.113,
2002-06,0.123,
2002-07,0.113,
2002-08,0.107,
2002-09,0.095,
2002-10,0.061,
2002-11,0.068,
2002-12,0.071,
2003-01,0.065,
2003-02,0.066,
2003-03,0.069,
2003-04,0.066,
2003-05,0.076,
2003-06,0.076,
2003-07,0.071,
2003-08,0.073,
2003-09,0.093,
2003-10,0.079,
2003-11,0.116,
2003-12,0.097,
2004-01,0.102,
2004-02,0.096,
2004-03,0.111,
2004-04,0.100,
2004-05,0.100,
2004-06,0.114,
2004-07,0.125,
2004-08,0.111,
2004-09,0.118,
2004-10,0.140,
2004-11,0.140,
2004-12,0.102,
2005-01,0.129,
2005-02,0.121,
2005-03,0.127,
2005-04,0.100,
2005-05,0.096,
2005-06,0.115,
2005-07,0.126,
2005-08,0.135,
2005-09,0.120,
2005-10,0.112,
2005-11,0.120,
2005-12,0.100,
2006-01,0.099,
2006-02,0.094,
2006-03,0.115,
2006-04,0.118,
2006-05,0.119,
2006-06,0.129,
2006-07,0.135,
2006-08,0.131,
2006-09,0.141,
2006-10,0.142,
2006-11,0.128,
2006-12,0.139,
2007-01,0.158,
2007-02,0.158,
2007-03,0.147,
2007-04,0.139,
2007-05,0.141,
2007-06,0.138,
2007-07,0.144,
2007-08,0.134,
2007-09,0.144,
2007-10,0.141,
2007-11,0.140,
2007-12,0.135,
2008-01,0.150,
2008-02,0.182,
2008-03,0.201,
2008-04,0.203,
2008-05,0.202,
2008-06,0.191,
2008-07,0.207,
2008-08,0.269,
2008-09,0.352,
2008-10,0.346,
2008-11,0.371,
2008-12,0.331,
2009-01,0.336,
2009-02,0.343,
2009-03,0.300,
2009-04,0.324,
2009-05,0.324,
2009-06,0.331,
2009-07,0.315,
2009-08,0.301,
2009-09,0.326,
2009-10,0.294,
2009-11,0.261,
2009-12,0.247,
2010-01,0.270,
2010-02,0.265,
2010-03,0.302,
2010-04,0.304,
2010-05,0.378,
2010-06,0.410,
2010-07,0.404,
2010-08,0.416,
2010-09,0.407,
2010-10,0.391,
2010-11,0.415,
2010-12,0.455,
2011-01,0.426,
2011-02,0.349,
2011-03,0.432,
2011-04,0.449,
2011-05,0.427,
2011-06,0.471,
2011-07,0.503,
2011-08,0.521,
2011-09,0.604,
2011-10,0.583,
2011-11,0.623,
2011-12,0.641,
2012-01,0.627,
2012-02,0.636,
2012-03,0.701,
2012-04,0.839,
2012-05,0.830,
2012-06,0.782,
2012-07,0.826,
2012-08,0.826,
2012-09,0.903,
2012-10,0.874,
2012-11,0.899,
2012-12,0.857,
2013-01,0.738,
2013-02,0.818,
2013-03,0.816,
2013-04,0.748,
2013-05,0.788,
2013-06,0.855,
2013-07,0.732,
2013-08,0.768,
2013-09,0.778,
2013-10,0.820,
2013-11,1.165,
2013-12,1.044,
2014-01,1.139,
2014-02,1.133,
2014-03,1.227,
2014-04,0.953,
2014-05,0.951,
2014-06,1.072,
2014-07,1.014,
2014-08,1.059,
2014-09,1.488,
2014-10,1.308,
2014-11,1.278,
2014-12,1.359,
"",General: Excluding Hong Kong.,
