"",BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F519._Z._T.M.N,BBFB1.M.N.DE.W1.S1.S1.T.L.FA.O.F519._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Other equity / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:17,
1991-01,8.484,
1991-02,3.203,
1991-03,7.426,
1991-04,0.960,
1991-05,3.325,
1991-06,4.943,
1991-07,-5.645,
1991-08,3.209,
1991-09,6.668,
1991-10,-1.398,
1991-11,12.147,
1991-12,-0.495,
1992-01,7.332,
1992-02,-0.429,
1992-03,-74.913,
1992-04,16.199,
1992-05,-3.504,
1992-06,-0.879,
1992-07,-37.920,
1992-08,16.048,
1992-09,1.018,
1992-10,2.088,
1992-11,2.510,
1992-12,-11.093,
1993-01,12.161,
1993-02,-10.395,
1993-03,7.136,
1993-04,-45.318,
1993-05,73.577,
1993-06,-0.165,
1993-07,0.570,
1993-08,-17.378,
1993-09,0.778,
1993-10,8.086,
1993-11,10.680,
1993-12,17.402,
1994-01,-9.051,
1994-02,-18.551,
1994-03,13.153,
1994-04,6.949,
1994-05,-23.929,
1994-06,1.242,
1994-07,0.837,
1994-08,-6.634,
1994-09,-4.744,
1994-10,-0.811,
1994-11,393.961,
1994-12,139.779,
1995-01,-11.455,
1995-02,-1.699,
1995-03,21.821,
1995-04,4.770,
1995-05,6.276,
1995-06,-3.054,
1995-07,-20.169,
1995-08,-5.516,
1995-09,-6.589,
1995-10,0.867,
1995-11,-438.908,
1995-12,-2.034,
1996-01,-3.038,
1996-02,16.669,
1996-03,4.003,
1996-04,10.640,
1996-05,6.907,
1996-06,-34.473,
1996-07,4.275,
1996-08,14.493,
1996-09,16.296,
1996-10,-18.278,
1996-11,-23.412,
1996-12,12.377,
1997-01,8.705,
1997-02,3.319,
1997-03,1.499,
1997-04,-168.007,
1997-05,-3.533,
1997-06,6.696,
1997-07,-19.433,
1997-08,-170.970,
1997-09,-1.612,
1997-10,13.497,
1997-11,2.530,
1997-12,-38.534,
1998-01,-56.530,
1998-02,4.022,
1998-03,-7.768,
1998-04,3.221,
1998-05,1.669,
1998-06,-1.190,
1998-07,11.232,
1998-08,3.363,
1998-09,6.600,
1998-10,-3.829,
1998-11,7.905,
1998-12,12.654,
1999-01,-1.227,
1999-02,0.138,
1999-03,0.013,
1999-04,0.313,
1999-05,-0.187,
1999-06,-0.005,
1999-07,4.487,
1999-08,-0.797,
1999-09,5.830,
1999-10,-12.381,
1999-11,-0.012,
1999-12,-1.196,
2000-01,197.844,
2000-02,2.506,
2000-03,-5.990,
2000-04,-4.062,
2000-05,7.654,
2000-06,1.622,
2000-07,-16.137,
2000-08,115.667,
2000-09,0.184,
2000-10,31.109,
2000-11,20.665,
2000-12,-1.378,
2001-01,-0.291,
2001-02,8.071,
2001-03,12.964,
2001-04,-1.903,
2001-05,0.486,
2001-06,1.959,
2001-07,10.849,
2001-08,1.270,
2001-09,3.116,
2001-10,-3.779,
2001-11,5.030,
2001-12,-11.678,
2002-01,-8.869,
2002-02,33.194,
2002-03,0.334,
2002-04,-0.214,
2002-05,2.386,
2002-06,-1.419,
2002-07,56.279,
2002-08,2.599,
2002-09,4.159,
2002-10,1.669,
2002-11,1.850,
2002-12,-0.031,
2003-01,0.884,
2003-02,1.395,
2003-03,0.169,
2003-04,26.697,
2003-05,6.213,
2003-06,-0.304,
2003-07,-2.995,
2003-08,20.758,
2003-09,-0.176,
2003-10,0.409,
2003-11,6.146,
2003-12,13.001,
2004-01,42.608,
2004-02,5.606,
2004-03,0.584,
2004-04,6.634,
2004-05,8.327,
2004-06,6.812,
2004-07,26.471,
2004-08,31.919,
2004-09,0.728,
2004-10,0.529,
2004-11,5.499,
2004-12,64.218,
2005-01,-0.287,
2005-02,-7.304,
2005-03,-50.616,
2005-04,4.681,
2005-05,-3.433,
2005-06,2.886,
2005-07,-42.526,
2005-08,-2.168,
2005-09,-4.039,
2005-10,264.077,
2005-11,-2.274,
2005-12,44.009,
2006-01,-9.390,
2006-02,-5.880,
2006-03,-3.681,
2006-04,12.450,
2006-05,3.665,
2006-06,1.141,
2006-07,7.392,
2006-08,5.059,
2006-09,-19.624,
2006-10,8.826,
2006-11,24.679,
2006-12,304.529,
2007-01,600.141,
2007-02,14.141,
2007-03,32.475,
2007-04,6.312,
2007-05,5.419,
2007-06,-28.828,
2007-07,21.407,
2007-08,18.665,
2007-09,10.617,
2007-10,75.564,
2007-11,-2.228,
2007-12,-23.819,
2008-01,-42.244,
2008-02,16.655,
2008-03,-380.744,
2008-04,-0.796,
2008-05,-4.912,
2008-06,1.770,
2008-07,856.193,
2008-08,584.731,
2008-09,6.285,
2008-10,-99.606,
2008-11,25.678,
2008-12,5.132,
2009-01,-27.616,
2009-02,0.179,
2009-03,-0.533,
2009-04,4.211,
2009-05,27.139,
2009-06,-6.619,
