"",BBFN1.M.DE.N.1.A.AU.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.AU.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Australia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:26,
1994-12,1.115,
1995-01,1.160,
1995-02,1.276,
1995-03,1.264,
1995-04,1.282,
1995-05,1.399,
1995-06,1.339,
1995-07,1.416,
1995-08,1.402,
1995-09,1.461,
1995-10,1.464,
1995-11,1.265,
1995-12,1.288,
1996-01,1.230,
1996-02,1.239,
1996-03,1.274,
1996-04,1.348,
1996-05,1.505,
1996-06,1.437,
1996-07,1.345,
1996-08,1.440,
1996-09,1.454,
1996-10,1.458,
1996-11,1.445,
1996-12,1.396,
1997-01,1.371,
1997-02,1.368,
1997-03,1.531,
1997-04,1.536,
1997-05,1.417,
1997-06,1.545,
1997-07,1.544,
1997-08,1.532,
1997-09,1.561,
1997-10,1.508,
1997-11,1.524,
1997-12,1.518,
1998-01,1.527,
1998-02,1.576,
1998-03,1.637,
1998-04,1.673,
1998-05,1.749,
1998-06,1.738,
1998-07,1.696,
1998-08,1.645,
1998-09,1.671,
1998-10,1.676,
1998-11,1.685,
1998-12,1.545,
1999-01,1.602,
1999-02,1.630,
1999-03,1.747,
1999-04,1.830,
1999-05,1.898,
1999-06,1.885,
1999-07,1.964,
1999-08,1.922,
1999-09,1.955,
1999-10,2.027,
1999-11,1.963,
1999-12,1.722,
2000-01,1.762,
2000-02,1.764,
2000-03,1.964,
2000-04,2.064,
2000-05,2.047,
2000-06,2.037,
2000-07,2.040,
2000-08,2.099,
2000-09,2.199,
2000-10,2.243,
2000-11,2.241,
2000-12,1.856,
2001-01,1.815,
2001-02,1.907,
2001-03,1.828,
2001-04,1.848,
2001-05,1.928,
2001-06,1.670,
2001-07,1.640,
2001-08,1.648,
2001-09,1.669,
2001-10,1.707,
2001-11,1.809,
2001-12,1.813,
2002-01,1.772,
2002-02,1.752,
2002-03,1.697,
2002-04,1.698,
2002-05,1.732,
2002-06,1.868,
2002-07,1.880,
2002-08,1.883,
2002-09,2.153,
2002-10,2.166,
2002-11,2.315,
2002-12,2.263,
2003-01,2.238,
2003-02,2.005,
2003-03,2.206,
2003-04,2.209,
2003-05,2.235,
2003-06,2.148,
2003-07,2.137,
2003-08,2.157,
2003-09,2.100,
2003-10,2.278,
2003-11,2.160,
2003-12,2.080,
2004-01,2.029,
2004-02,2.064,
2004-03,2.277,
2004-04,2.395,
2004-05,2.129,
2004-06,2.049,
2004-07,2.185,
2004-08,2.137,
2004-09,2.052,
2004-10,2.184,
2004-11,2.235,
2004-12,2.107,
2005-01,1.924,
2005-02,1.934,
2005-03,1.977,
2005-04,2.135,
2005-05,2.302,
2005-06,2.222,
2005-07,2.262,
2005-08,1.992,
2005-09,1.963,
2005-10,1.907,
2005-11,1.908,
2005-12,1.911,
2006-01,2.040,
2006-02,2.140,
2006-03,2.171,
2006-04,2.022,
2006-05,2.061,
2006-06,2.968,
2006-07,3.025,
2006-08,3.120,
2006-09,3.029,
2006-10,3.214,
2006-11,3.178,
2006-12,3.120,
2007-01,3.085,
2007-02,3.052,
2007-03,3.183,
2007-04,3.079,
2007-05,3.168,
2007-06,3.119,
2007-07,2.197,
2007-08,2.497,
2007-09,2.805,
2007-10,2.905,
2007-11,3.252,
2007-12,3.243,
2008-01,3.151,
2008-02,3.147,
2008-03,2.980,
2008-04,3.168,
2008-05,3.219,
2008-06,3.209,
2008-07,3.189,
2008-08,3.140,
2008-09,3.229,
2008-10,3.106,
2008-11,3.319,
2008-12,4.191,
2009-01,4.199,
2009-02,4.052,
2009-03,4.568,
2009-04,4.288,
2009-05,4.381,
2009-06,4.579,
2009-07,4.456,
2009-08,4.454,
2009-09,4.300,
2009-10,4.554,
2009-11,4.898,
2009-12,4.898,
2010-01,4.673,
2010-02,4.706,
2010-03,4.672,
2010-04,4.548,
2010-05,4.841,
2010-06,4.593,
2010-07,5.042,
2010-08,4.746,
2010-09,4.785,
2010-10,4.997,
2010-11,5.149,
2010-12,5.431,
2011-01,5.509,
2011-02,5.487,
2011-03,5.448,
2011-04,5.461,
2011-05,5.655,
2011-06,5.700,
2011-07,5.539,
2011-08,5.628,
2011-09,5.196,
2011-10,4.969,
2011-11,4.770,
2011-12,4.719,
2012-01,4.282,
2012-02,4.294,
2012-03,4.961,
2012-04,4.961,
2012-05,4.850,
2012-06,5.757,
2012-07,5.739,
2012-08,5.366,
2012-09,6.139,
2012-10,6.366,
2012-11,6.503,
2012-12,6.116,
2013-01,6.048,
2013-02,5.877,
2013-03,5.756,
2013-04,5.427,
2013-05,5.699,
2013-06,4.913,
2013-07,4.634,
2013-08,5.162,
2013-09,5.238,
2013-10,5.293,
2013-11,4.981,
2013-12,4.312,
2014-01,4.266,
2014-02,4.231,
2014-03,4.262,
2014-04,4.273,
2014-05,4.426,
2014-06,4.151,
2014-07,4.270,
2014-08,4.578,
2014-09,4.692,
2014-10,5.223,
2014-11,4.767,
2014-12,4.525,
