"",BBK01.OELB18I,BBK01.OELB18I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:34,
2002-01,0.304,
2002-04,0.459,
2002-07,0.519,
2002-10,0.343,
2003-01,0.476,
2003-04,0.475,
2003-07,0.481,
2003-10,0.309,
2004-01,0.422,
2004-04,0.419,
2004-07,0.431,
2004-10,0.372,
2005-01,0.374,
2005-04,0.372,
2005-07,0.379,
2005-10,0.521,
2006-01,0.393,
2006-04,0.220,
2006-07,0.254,
2006-10,0.152,
2007-01,0.155,
2007-04,0.157,
2007-07,0.162,
2007-10,0.147,
2008-01,0.163,
2008-04,0.150,
2008-07,0.143,
2008-10,0.133,
2009-01,0.132,
2009-04,0.136,
2009-07,0.140,
2009-10,0.131,
2010-01,0.138,
2010-04,0.132,
2010-07,0.129,
2010-10,0.124,
2011-01,0.128,
2011-04,0.129,
2011-07,0.148,
2011-10,0.140,
2012-01,0.126,
2012-04,0.125,
2012-07,0.105,
2012-10,0.109,
2013-01,0.105,
2013-04,0.107,
2013-07,0.113,
2013-10,0.112,
2014-01,0.109,
2014-04,0.101,
2014-07,0.092,
