"",BBK01.OEAD37N,BBK01.OEAD37N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:37,
2002-01,1.631,
2002-04,1.643,
2002-07,1.724,
2002-10,1.692,
2003-01,1.641,
2003-04,1.643,
2003-07,1.626,
2003-10,1.567,
2004-01,1.509,
2004-04,1.512,
2004-07,1.430,
2004-10,1.238,
2005-01,1.220,
2005-04,1.206,
2005-07,1.306,
2005-10,1.283,
2006-01,1.330,
2006-04,1.327,
2006-07,1.302,
2006-10,1.263,
2007-01,1.346,
2007-04,1.367,
2007-07,1.504,
2007-10,1.465,
2008-01,1.355,
2008-04,1.329,
2008-07,1.425,
2008-10,1.385,
2009-01,1.266,
2009-04,1.284,
2009-07,1.225,
2009-10,1.171,
2010-01,1.185,
2010-04,1.129,
2010-07,1.248,
2010-10,1.240,
2011-01,1.205,
2011-04,1.246,
2011-07,1.249,
2011-10,1.252,
2012-01,1.240,
2012-04,1.191,
2012-07,1.199,
2012-10,1.183,
2013-01,1.146,
2013-04,1.158,
2013-07,1.128,
2013-10,1.136,
2014-01,1.105,
2014-04,1.128,
2014-07,1.105,
