"",BBK01.OEAH25R,BBK01.OEAH25R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:41,
2002-01,6.725,
2002-04,6.556,
2002-07,6.618,
2002-10,6.812,
2003-01,6.853,
2003-04,6.769,
2003-07,6.794,
2003-10,6.932,
2004-01,6.914,
2004-04,6.846,
2004-07,6.839,
2004-10,6.944,
2005-01,7.542,
2005-04,7.495,
2005-07,7.478,
2005-10,7.580,
2006-01,7.553,
2006-04,7.509,
2006-07,7.489,
2006-10,7.512,
2007-01,7.537,
2007-04,7.469,
2007-07,7.452,
2007-10,7.578,
2008-01,7.579,
2008-04,7.543,
2008-07,7.472,
2008-10,7.709,
2009-01,7.716,
2009-04,7.680,
2009-07,7.706,
2009-10,7.905,
2010-01,7.877,
2010-04,7.827,
2010-07,7.795,
2010-10,7.971,
2011-01,8.015,
2011-04,8.005,
2011-07,7.971,
2011-10,8.049,
2012-01,8.097,
2012-04,8.095,
2012-07,8.104,
2012-10,8.133,
2013-01,8.096,
2013-04,8.009,
2013-07,7.993,
2013-10,8.033,
2014-01,8.020,
2014-04,7.944,
2014-07,7.991,
