"",BBK01.OEYI10K,BBK01.OEYI10K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:58:34,
2002-01,0.054,
2002-04,0.058,
2002-07,0.057,
2002-10,0.057,
2003-01,0.057,
2003-04,0.056,
2003-07,0.056,
2003-10,0.054,
2004-01,0.055,
2004-04,0.105,
2004-07,0.103,
2004-10,0.079,
2005-01,0.082,
2005-04,0.083,
2005-07,0.084,
2005-10,0.086,
2006-01,0.087,
2006-04,0.228,
2006-07,0.237,
2006-10,0.222,
2007-01,0.153,
2007-04,0.147,
2007-07,0.139,
2007-10,0.122,
2008-01,0.116,
2008-04,0.113,
2008-07,0.107,
2008-10,0.105,
2009-01,0.106,
2009-04,0.100,
2009-07,0.146,
2009-10,0.142,
2010-01,0.141,
2010-04,0.137,
2010-07,0.136,
2010-10,0.127,
2011-01,0.121,
2011-04,0.116,
2011-07,0.110,
2011-10,0.107,
2012-01,0.105,
2012-04,0.102,
2012-07,0.089,
2012-10,0.087,
2013-01,0.087,
2013-04,0.085,
2013-07,0.083,
2013-10,0.081,
2014-01,0.073,
2014-04,0.072,
2014-07,0.072,
