"",BBK01.OEAK02I,BBK01.OEAK02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:11,
2002-01,2.881,
2002-04,2.999,
2002-07,2.908,
2002-10,3.218,
2003-01,3.051,
2003-04,3.115,
2003-07,3.251,
2003-10,3.454,
2004-01,3.353,
2004-04,3.447,
2004-07,3.424,
2004-10,3.636,
2005-01,3.772,
2005-04,3.839,
2005-07,4.093,
2005-10,4.850,
2006-01,4.545,
2006-04,4.724,
2006-07,4.736,
2006-10,5.256,
2007-01,4.765,
2007-04,4.892,
2007-07,4.925,
2007-10,4.751,
2008-01,4.493,
2008-04,4.511,
2008-07,4.240,
2008-10,4.404,
2009-01,5.338,
2009-04,5.789,
2009-07,6.315,
2009-10,6.717,
2010-01,6.066,
2010-04,7.200,
2010-07,7.338,
2010-10,7.585,
2011-01,7.765,
2011-04,7.797,
2011-07,8.241,
2011-10,8.560,
2012-01,8.684,
2012-04,9.311,
2012-07,9.719,
2012-10,9.908,
2013-01,9.840,
2013-04,9.900,
2013-07,10.114,
2013-10,10.627,
2014-01,10.498,
2014-04,10.754,
2014-07,10.817,
