"",BBFB1.Q.N.DE.AT.S1.S1.T.D.SD._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.D.SD._Z._Z._Z._T._X.N_FLAGS
"",Current account / Travel / Expenditure / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:37,
1999-01,2196.640,
1999-04,1010.175,
1999-07,1488.978,
1999-10,986.531,
2000-01,2231.261,
2000-04,1026.096,
2000-07,1512.446,
2000-10,1002.081,
2001-01,2311.013,
2001-04,1062.772,
2001-07,1566.505,
2001-10,1037.897,
2002-01,2306.047,
2002-04,1102.662,
2002-07,1489.216,
2002-10,1131.295,
2003-01,2312.956,
2003-04,1315.776,
2003-07,1907.744,
2003-10,1224.427,
2004-01,2208.929,
2004-04,1510.982,
2004-07,1758.815,
2004-10,1091.089,
2005-01,2085.842,
2005-04,1238.163,
2005-07,1933.503,
2005-10,1211.299,
2006-01,2186.937,
2006-04,1162.039,
2006-07,1765.313,
2006-10,1010.314,
2007-01,1721.683,
2007-04,1214.094,
2007-07,1886.297,
2007-10,1196.168,
2008-01,1957.080,
2008-04,1191.070,
2008-07,1928.117,
2008-10,1506.666,
2009-01,1788.959,
2009-04,1132.618,
2009-07,1851.774,
2009-10,1220.289,
2010-01,1949.400,
2010-04,1001.364,
2010-07,1977.953,
2010-10,1114.036,
2011-01,2086.443,
2011-04,1064.488,
2011-07,2004.936,
2011-10,1059.569,
2012-01,1882.405,
2012-04,1263.613,
2012-07,2101.196,
2012-10,1205.659,
2013-01,2397.577,
2013-04,1297.889,
2013-07,2221.110,
2013-10,1171.755,
2014-01,2203.945,Provisional value
2014-04,1315.507,Provisional value
2014-07,2213.066,Provisional value
2014-10,1237.017,Provisional value
