"",BBFB1.Q.N.DE.W1.S12T.S1.T.A.FA.P.F51._Z._T.M.N,BBFB1.Q.N.DE.W1.S12T.S1.T.A.FA.P.F51._Z._T.M.N_FLAGS
"",Assets (Net Acquisition of) / Financial account / Equity / Rest of the World / Monetary financial institutions other than central bank / Portfolio investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:41,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,-,Nothing exists
1992-07,-,Nothing exists
1992-10,-,Nothing exists
1993-01,-,Nothing exists
1993-04,-,Nothing exists
1993-07,-,Nothing exists
1993-10,-,Nothing exists
1994-01,-,Nothing exists
1994-04,-,Nothing exists
1994-07,-,Nothing exists
1994-10,-,Nothing exists
1995-01,-,Nothing exists
1995-04,-,Nothing exists
1995-07,-,Nothing exists
1995-10,-,Nothing exists
1996-01,-,Nothing exists
1996-04,-,Nothing exists
1996-07,-,Nothing exists
1996-10,-,Nothing exists
1997-01,1345.209,
1997-04,212.186,
1997-07,-469.366,
1997-10,918.792,
1998-01,732.170,
1998-04,1147.339,
1998-07,-1869.794,
1998-10,-1008.268,
1999-01,-739.000,
1999-04,2477.000,
1999-07,728.000,
1999-10,4079.000,
2000-01,2445.000,
2000-04,3452.000,
2000-07,-817.000,
2000-10,2786.000,
2001-01,6727.000,
2001-04,3221.000,
2001-07,-999.000,
2001-10,-3692.000,
2002-01,-2450.000,
2002-04,-5316.000,
2002-07,-1178.000,
2002-10,3078.000,
2003-01,-1987.000,
2003-04,4890.000,
2003-07,-629.000,
2003-10,2789.000,
2004-01,100.000,
2004-04,1084.000,
2004-07,-2790.000,
2004-10,4290.000,
2005-01,2711.000,
2005-04,3527.000,
2005-07,3142.000,
2005-10,6963.000,
2006-01,-1294.692,
2006-04,-3024.606,
2006-07,5902.958,
2006-10,5111.810,
2007-01,3911.100,
2007-04,5547.594,
2007-07,-1108.385,
2007-10,2691.745,
2008-01,-7798.896,
2008-04,-10939.354,
2008-07,649.392,
2008-10,-3220.107,
2009-01,-1471.991,
2009-04,-346.076,
2009-07,-459.292,
2009-10,2279.157,
2010-01,-776.099,
2010-04,3166.159,
2010-07,-1679.972,
2010-10,1210.910,
2011-01,-1883.282,
2011-04,4676.820,
2011-07,-4123.801,
2011-10,4015.407,
2012-01,-4996.464,
2012-04,1259.253,
2012-07,2911.633,
2012-10,8236.688,
2013-01,3470.499,
2013-04,138.146,
2013-07,3035.313,
2013-10,1757.669,
2014-01,1807.869,
2014-04,2468.219,
2014-07,1643.863,
