"",BBK01.OEAH52N,BBK01.OEAH52N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:30,
2002-01,0.787,
2002-04,0.791,
2002-07,0.785,
2002-10,0.758,
2003-01,0.755,
2003-04,0.750,
2003-07,0.741,
2003-10,0.810,
2004-01,0.738,
2004-04,0.723,
2004-07,0.710,
2004-10,0.781,
2005-01,0.772,
2005-04,0.770,
2005-07,0.775,
2005-10,0.761,
2006-01,0.748,
2006-04,0.728,
2006-07,0.712,
2006-10,0.705,
2007-01,0.641,
2007-04,0.607,
2007-07,0.599,
2007-10,0.575,
2008-01,0.521,
2008-04,0.505,
2008-07,0.496,
2008-10,0.485,
2009-01,0.500,
2009-04,0.568,
2009-07,0.595,
2009-10,0.623,
2010-01,0.722,
2010-04,0.802,
2010-07,0.806,
2010-10,0.815,
2011-01,0.838,
2011-04,0.946,
2011-07,0.988,
2011-10,0.966,
2012-01,1.003,
2012-04,1.010,
2012-07,1.017,
2012-10,0.963,
2013-01,0.905,
2013-04,0.839,
2013-07,0.817,
2013-10,0.793,
2014-01,0.762,
2014-04,0.567,
2014-07,0.539,
