"",BBK01.OECL03V,BBK01.OECL03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:37,
2002-01,0.213,
2002-04,0.206,
2002-07,0.199,
2002-10,0.177,
2003-01,0.154,
2003-04,0.144,
2003-07,0.123,
2003-10,0.111,
2004-01,0.108,
2004-04,0.156,
2004-07,0.147,
2004-10,0.141,
2005-01,0.383,
2005-04,0.380,
2005-07,0.359,
2005-10,0.345,
2006-01,0.350,
2006-04,0.364,
2006-07,0.382,
2006-10,0.388,
2007-01,0.420,
2007-04,0.442,
2007-07,0.510,
2007-10,0.637,
2008-01,0.746,
2008-04,0.817,
2008-07,1.004,
2008-10,1.056,
2009-01,0.959,
2009-04,0.895,
2009-07,0.726,
2009-10,0.596,
2010-01,0.487,
2010-04,0.449,
2010-07,0.399,
2010-10,0.350,
2011-01,0.355,
2011-04,0.323,
2011-07,0.270,
2011-10,0.369,
2012-01,0.396,
2012-04,0.389,
2012-07,0.358,
2012-10,0.243,
2013-01,0.181,
2013-04,0.179,
2013-07,0.152,
2013-10,0.143,
2014-01,0.149,
2014-04,0.149,
2014-07,0.143,
