"",BBK01.CELQ09,BBK01.CELQ09_FLAGS
"",short-term time deposits                              debtor: Total            creditor: Investment fund shares,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:52,
1999-01,-3.0,
1999-04,-3.2,
1999-07,1.7,
1999-10,1.6,
2000-01,-3.5,
2000-04,0.5,
2000-07,4.2,
2000-10,0.0,
2001-01,-3.2,
2001-04,0.3,
2001-07,2.9,
2001-10,1.1,
2002-01,-0.5,
2002-04,0.6,
2002-07,6.6,
2002-10,-2.6,
2003-01,2.2,
2003-04,0.5,
2003-07,4.3,
2003-10,-0.2,
2004-01,-3.5,
2004-04,-1.0,
2004-07,-2.3,
2004-10,9.2,
2005-01,-3.2,
2005-04,2.3,
2005-07,1.9,
2005-10,-1.4,
2006-01,5.9,
2006-04,-0.2,
2006-07,6.0,
2006-10,-10.6,
2007-01,6.0,
2007-04,1.2,
2007-07,4.4,
2007-10,17.4,
2008-01,8.5,
2008-04,9.7,
2008-07,22.3,
2008-10,1.1,
2009-01,-6.3,
2009-04,-4.4,
2009-07,-6.6,
2009-10,-5.4,
2010-01,-0.7,
2010-04,-0.4,
2010-07,0.8,
2010-10,-0.8,
2011-01,0.9,
2011-04,0.0,
2011-07,3.6,
2011-10,-0.4,
2012-01,-0.8,
2012-04,0.6,
2012-07,-0.7,
2012-10,-0.7,
2013-01,-0.3,
2013-04,0.5,
2013-07,-0.2,
2013-10,-0.2,
2014-01,-0.3,
2014-04,-0.5,
2014-07,0.0,
