"",BBSF2.M.1.S.I1250.REN01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.REN01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Sales receipts / Insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:11,
2009-09,1971,
2009-10,1087,
2009-11,2002,
2009-12,3726,
2010-01,3952,
2010-02,1781,
2010-03,962,
2010-04,2254,
2010-05,982,
2010-06,1669,
2010-07,422,
2010-08,1076,
2010-09,2290,
2010-10,2667,
2010-11,1784,
2010-12,2745,
2011-01,2861,
2011-02,1906,
2011-03,1050,
2011-04,1597,
2011-05,416,
2011-06,849,
2011-07,457,
2011-08,843,
2011-09,1164,
2011-10,981,
2011-11,1249,
2011-12,3225,
2012-01,3414,
2012-02,3221,
2012-03,2162,
2012-04,564,
2012-05,1200,
2012-06,2444,
2012-07,1210,
2012-08,1694,
2012-09,785,
2012-10,2220,
2012-11,2154,
2012-12,2410,
2013-01,3314,
2013-02,3438,
2013-03,2250,
2013-04,1237,
2013-05,1807,
2013-06,1151,
2013-07,1574,
2013-08,408,
2013-09,1064,
2013-10,3750,
2013-11,7009,
2013-12,2020,
2014-01,2313,
2014-02,2470,
2014-03,1239,
2014-04,1134,
2014-05,3184,
2014-06,2352,
2014-07,3336,
2014-08,846,
2014-09,1731,
2014-10,1382,
2014-11,3477,
