"",BBK01.OEBJ03I,BBK01.OEBJ03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:17,
2002-01,4.338,
2002-04,4.191,
2002-07,4.504,
2002-10,4.252,
2003-01,4.096,
2003-04,3.624,
2003-07,3.477,
2003-10,3.474,
2004-01,3.299,
2004-04,3.408,
2004-07,3.742,
2004-10,3.792,
2005-01,4.763,
2005-04,4.450,
2005-07,4.099,
2005-10,3.533,
2006-01,4.002,
2006-04,3.482,
2006-07,3.696,
2006-10,3.986,
2007-01,4.252,
2007-04,4.710,
2007-07,4.761,
2007-10,4.839,
2008-01,5.025,
2008-04,5.360,
2008-07,5.473,
2008-10,4.471,
2009-01,3.515,
2009-04,3.258,
2009-07,2.999,
2009-10,2.998,
2010-01,3.158,
2010-04,3.603,
2010-07,4.311,
2010-10,6.871,
2011-01,8.061,
2011-04,8.246,
2011-07,8.975,
2011-10,9.333,
2012-01,8.939,
2012-04,8.909,
2012-07,9.006,
2012-10,8.929,
2013-01,9.626,
2013-04,9.332,
2013-07,9.333,
2013-10,9.876,
2014-01,9.222,
2014-04,9.189,
2014-07,9.076,
