"",BBK01.TQ7147,BBK01.TQ7147_FLAGS
"",Other financial corporations - Assets FSI-S470,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-23 10:06:31,
2005-10,2491652,
2006-01,.,No value available
2006-04,.,No value available
2006-07,.,No value available
2006-10,2647844,
2007-01,.,No value available
2007-04,.,No value available
2007-07,.,No value available
2007-10,2730741,
2008-01,.,No value available
2008-04,.,No value available
2008-07,.,No value available
2008-10,2716370,
2009-01,.,No value available
2009-04,.,No value available
2009-07,.,No value available
2009-10,2940185,
2010-01,.,No value available
2010-04,.,No value available
2010-07,.,No value available
2010-10,3442228,
2011-01,.,No value available
2011-04,.,No value available
2011-07,.,No value available
2011-10,3524347,
2012-01,.,No value available
2012-04,.,No value available
2012-07,.,No value available
2012-10,3864502,
2013-01,.,No value available
2013-04,.,No value available
2013-07,.,No value available
2013-10,3887778,
2014-01,.,No value available
2014-04,.,No value available
2014-07,.,No value available
