"",BBFB1.Q.N.DE.SI.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:38,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,76.838,
1992-07,206.288,
1992-10,284.699,
1993-01,259.706,
1993-04,255.510,
1993-07,255.395,
1993-10,296.814,
1994-01,247.925,
1994-04,329.282,
1994-07,313.279,
1994-10,347.838,
1995-01,338.302,
1995-04,445.125,
1995-07,422.933,
1995-10,401.713,
1996-01,362.591,
1996-04,404.972,
1996-07,376.557,
1996-10,372.563,
1997-01,373.117,
1997-04,477.435,
1997-07,446.754,
1997-10,450.259,
1998-01,462.621,
1998-04,480.336,
1998-07,455.384,
1998-10,498.520,
1999-01,484.205,
1999-04,548.753,
1999-07,495.279,
1999-10,532.889,
2000-01,559.766,
2000-04,498.363,
2000-07,537.918,
2000-10,559.642,
2001-01,549.523,
2001-04,559.517,
2001-07,558.566,
2001-10,598.712,
2002-01,522.616,
2002-04,575.403,
2002-07,546.627,
2002-10,591.796,
2003-01,561.823,
2003-04,611.197,
2003-07,597.388,
2003-10,598.049,
2004-01,655.823,
2004-04,682.252,
2004-07,603.391,
2004-10,660.419,
2005-01,679.118,
2005-04,710.587,
2005-07,709.572,
2005-10,785.216,
2006-01,826.707,
2006-04,820.682,
2006-07,863.356,
2006-10,932.827,
2007-01,1098.356,
2007-04,1065.822,
2007-07,991.951,
2007-10,1051.019,
2008-01,1101.992,
2008-04,1212.849,
2008-07,1079.885,
2008-10,1009.552,
2009-01,753.575,
2009-04,726.471,
2009-07,782.613,
2009-10,840.393,
2010-01,845.825,
2010-04,976.465,
2010-07,943.243,
2010-10,980.875,
2011-01,1019.417,
2011-04,1050.340,
2011-07,1016.262,
2011-10,1035.407,
2012-01,990.403,
2012-04,984.413,
2012-07,970.620,
2012-10,978.729,
2013-01,1136.139,
2013-04,1043.588,
2013-07,1024.982,
2013-10,1048.161,
2014-01,1056.687,Provisional value
2014-04,1099.812,Provisional value
2014-07,1111.246,Provisional value
