"",BBK01.OEAH19V,BBK01.OEAH19V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:52,
2002-01,4.180,
2002-04,4.240,
2002-07,4.243,
2002-10,4.343,
2003-01,4.401,
2003-04,4.535,
2003-07,4.537,
2003-10,4.554,
2004-01,4.526,
2004-04,5.171,
2004-07,5.154,
2004-10,5.208,
2005-01,5.375,
2005-04,5.312,
2005-07,6.122,
2005-10,6.136,
2006-01,6.052,
2006-04,6.186,
2006-07,6.157,
2006-10,6.107,
2007-01,6.183,
2007-04,6.217,
2007-07,6.166,
2007-10,6.197,
2008-01,6.360,
2008-04,1.654,
2008-07,1.668,
2008-10,1.708,
2009-01,1.846,
2009-04,1.961,
2009-07,2.038,
2009-10,2.159,
2010-01,2.097,
2010-04,2.111,
2010-07,2.138,
2010-10,2.139,
2011-01,2.290,
2011-04,2.361,
2011-07,2.634,
2011-10,2.678,
2012-01,2.990,
2012-04,3.104,
2012-07,3.006,
2012-10,2.950,
2013-01,3.091,
2013-04,3.227,
2013-07,3.074,
2013-10,3.042,
2014-01,3.120,
2014-04,3.168,
2014-07,3.199,
