"",BBK01.SU0334G,BBK01.SU0334G_FLAGS
"",Money market rates / EURIBOR nine-month funds / Moving monthly average,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 15:04:59,
1999-09,2.95,
1999-10,3.01,
1999-11,3.07,
1999-12,3.14,
2000-01,3.25,
2000-02,3.39,
2000-03,3.54,
2000-04,3.68,
2000-05,3.86,
2000-06,4.04,
2000-07,4.20,
2000-08,4.38,
2000-09,4.54,
2000-10,4.70,
2000-11,4.83,
2000-12,4.92,
2001-01,4.96,
2001-02,4.95,
2001-03,4.91,
2001-04,4.86,
2001-05,4.79,
2001-06,4.70,
2001-07,4.61,
2001-08,4.49,
2001-09,4.37,
2001-10,4.24,
2001-11,4.08,
2001-12,3.94,
2002-01,3.82,
2002-02,3.70,
2002-03,3.63,
2002-04,3.56,
2002-05,3.52,
2002-06,3.51,
2002-07,3.53,
2002-08,3.55,
2002-09,3.55,
2002-10,3.52,
2002-11,3.47,
2002-12,3.38,
2003-01,3.27,
2003-02,3.13,
2003-03,2.99,
2003-04,2.86,
2003-05,2.74,
2003-06,2.60,
2003-07,2.49,
2003-08,2.40,
2003-09,2.33,
2003-10,2.27,
2003-11,2.25,
2003-12,2.23,
2004-01,2.20,
2004-02,2.18,
2004-03,2.18,
2004-04,2.18,
2004-05,2.18,
2004-06,2.19,
2004-07,2.19,
2004-08,2.18,
2004-09,2.19,
2004-10,2.20,
2004-11,2.21,
2004-12,2.24,
2005-01,2.25,
2005-02,2.26,
2005-03,2.25,
2005-04,2.25,
2005-05,2.24,
2005-06,2.22,
2005-07,2.21,
2005-08,2.20,
2005-09,2.19,
2005-10,2.21,
2005-11,2.25,
2005-12,2.29,
2006-01,2.35,
2006-02,2.43,
2006-03,2.53,
2006-04,2.63,
2006-05,2.75,
2006-06,2.87,
2006-07,2.99,
2006-08,3.09,
2006-09,3.20,
2006-10,3.31,
2006-11,3.42,
2006-12,3.51,
2007-01,3.61,
2007-02,3.70,
2007-03,3.79,
2007-04,3.87,
2007-05,3.96,
2007-06,4.04,
2007-07,4.13,
2007-08,4.22,
2007-09,4.31,
2007-10,4.39,
2007-11,4.45,
2007-12,4.53,
2008-01,4.57,
2008-02,4.57,
2008-03,4.59,
2008-04,4.63,
2008-05,4.67,
2008-06,4.72,
2008-07,4.79,
2008-08,4.86,
2008-09,4.91,
2008-10,4.99,
2008-11,4.99,
2008-12,4.86,
2009-01,4.61,
2009-02,4.29,
2009-03,3.92,
2009-04,3.52,
2009-05,3.11,
2009-06,2.70,
2009-07,2.27,
2009-08,1.92,
2009-09,1.67,
2009-10,1.51,
2009-11,1.41,
2009-12,1.33,
2010-01,1.26,
2010-02,1.21,
2010-03,1.16,
2010-04,1.13,
2010-05,1.12,
2010-06,1.12,
2010-07,1.13,
2010-08,1.15,
2010-09,1.17,
2010-10,1.19,
2010-11,1.23,
2010-12,1.26,
2011-01,1.30,
2011-02,1.34,
2011-03,1.41,
2011-04,1.47,
2011-05,1.55,
2011-06,1.62,
2011-07,1.69,
2011-08,1.75,
2011-09,1.80,
2011-10,1.86,
2011-11,1.90,
2011-12,1.91,
2012-01,1.89,
2012-02,1.85,
2012-03,1.78,
2012-04,1.70,
2012-05,1.61,
2012-06,1.52,
2012-07,1.40,
2012-08,1.28,
2012-09,1.14,
2012-10,1.01,
2012-11,0.90,
2012-12,0.80,
2013-01,0.71,
2013-02,0.64,
2013-03,0.57,
2013-04,0.51,
2013-05,0.47,
2013-06,0.45,
2013-07,0.44,
2013-08,0.44,
2013-09,0.44,
2013-10,0.44,
2013-11,0.43,
2013-12,0.43,
2014-01,0.44,
2014-02,0.45,
2014-03,0.46,
2014-04,0.47,
2014-05,0.47,
2014-06,0.47,
2014-07,0.46,
2014-08,0.46,
2014-09,0.44,
2014-10,0.41,
2014-11,0.39,
2014-12,0.36,
2015-01,0.33,
"",General: Euro Interbank Offered Rate: unweighted average rate calculated by Reuters since 30 December 1998 according to the act/360 method. Moving average: Bundesbank calculations. Data become fee liable from 1 January 2014 and therefore will be published with the delay of one working day.,
