"",BBK01.TU2056,BBK01.TU2056_FLAGS
"",Lending to banks (MFIs) / Credit balances and loans / Germa n banks (MFIs),
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-02 10:35:33,
1984-12,7.902,
1985-01,8.035,
1985-02,8.045,
1985-03,7.812,
1985-04,7.650,
1985-05,7.785,
1985-06,7.816,
1985-07,7.461,
1985-08,7.509,
1985-09,7.635,
1985-10,7.781,
1985-11,7.806,
1985-12,8.050,
1986-01,7.704,
1986-02,8.006,
1986-03,8.076,
1986-04,7.976,
1986-05,8.620,
1986-06,8.633,
1986-07,8.634,
1986-08,8.582,
1986-09,8.619,
1986-10,8.910,
1986-11,9.171,
1986-12,9.357,
1987-01,9.654,
1987-02,9.718,
1987-03,10.103,
1987-04,10.204,
1987-05,10.467,
1987-06,10.487,
1987-07,10.581,
1987-08,10.313,
1987-09,10.800,
1987-10,11.155,
1987-11,10.874,
1987-12,11.185,
1988-01,10.934,
1988-02,10.907,
1988-03,11.366,
1988-04,11.517,
1988-05,11.511,
1988-06,11.674,
1988-07,11.913,
1988-08,12.735,
1988-09,13.006,
1988-10,13.110,
1988-11,13.186,
1988-12,13.865,
1989-01,13.733,
1989-02,13.715,
1989-03,14.008,
1989-04,14.239,
1989-05,14.248,
1989-06,14.022,
1989-07,13.927,
1989-08,14.318,
1989-09,14.216,
1989-10,14.566,
1989-11,14.703,
1989-12,15.361,
1990-01,15.566,
1990-02,15.392,
1990-03,15.795,
1990-04,15.768,
1990-05,15.891,
1990-06,16.021,
1990-07,19.870,
1990-08,19.979,
1990-09,20.041,
1990-10,19.161,
1990-11,19.210,
1990-12,19.101,
1991-01,19.214,
1991-02,19.330,
1991-03,19.732,
1991-04,19.459,
1991-05,19.360,
1991-06,19.585,
1991-07,19.551,
1991-08,19.450,
1991-09,19.155,
1991-10,19.077,
1991-11,19.589,
1991-12,19.224,
1992-01,18.836,
1992-02,18.864,
1992-03,19.156,
1992-04,20.637,
1992-05,21.104,
1992-06,21.186,
1992-07,21.332,
1992-08,21.490,
1992-09,24.612,
1992-10,22.802,
1992-11,23.075,
1992-12,23.743,
1993-01,23.314,
1993-02,23.517,
1993-03,23.292,
1993-04,23.287,
1993-05,24.577,
1993-06,25.289,
1993-07,25.360,
1993-08,24.738,
1993-09,25.137,
1993-10,25.955,
1993-11,28.082,
1993-12,30.183,
1994-01,30.424,
1994-02,30.176,
1994-03,32.088,
1994-04,31.671,
1994-05,31.707,
1994-06,33.429,
1994-07,33.935,
1994-08,33.367,
1994-09,34.422,
1994-10,35.452,
1994-11,38.327,
1994-12,47.161,
1995-01,46.996,
1995-02,46.174,
1995-03,47.900,
1995-04,46.697,
1995-05,46.400,
1995-06,47.158,
1995-07,48.002,
1995-08,48.117,
1995-09,48.102,
1995-10,50.194,
1995-11,50.202,
1995-12,46.652,
1996-01,47.674,
1996-02,47.843,
1996-03,49.999,
1996-04,51.055,
1996-05,51.687,
1996-06,51.814,
1996-07,52.320,
1996-08,52.800,
1996-09,51.726,
1996-10,51.240,
1996-11,51.563,
1996-12,52.390,
1997-01,53.783,
1997-02,54.441,
1997-03,55.533,
1997-04,57.019,
1997-05,56.848,
1997-06,59.593,
1997-07,62.652,
1997-08,63.535,
1997-09,62.273,
1997-10,65.284,
1997-11,63.717,
1997-12,62.452,
1998-01,64.104,
1998-02,62.557,
1998-03,68.043,
1998-04,65.612,
1998-05,68.737,
1998-06,70.642,
1998-07,71.597,
1998-08,70.771,
1998-09,73.451,
1998-10,78.544,
1998-11,79.008,
1998-12,81.851,
1999-01,72.739,
1999-02,73.029,
1999-03,74.756,
1999-04,75.886,
1999-05,78.607,
1999-06,75.416,
1999-07,77.371,
1999-08,76.527,
1999-09,74.910,
1999-10,77.860,
1999-11,75.587,
1999-12,71.116,
2000-01,74.322,
2000-02,75.988,
2000-03,75.581,
2000-04,74.863,
2000-05,78.234,
2000-06,75.380,
2000-07,70.242,
2000-08,74.601,
2000-09,73.627,
2000-10,74.645,
2000-11,74.106,
2000-12,82.225,
2001-01,82.069,
2001-02,80.218,
2001-03,87.475,
2001-04,86.596,
2001-05,85.173,
2001-06,91.894,
2001-07,95.097,
2001-08,81.069,
2001-09,84.831,
2001-10,86.845,
2001-11,89.173,
2001-12,105.681,
2002-01,108.329,
2002-02,101.717,
2002-03,105.284,
2002-04,108.563,
2002-05,112.972,
2002-06,106.152,
2002-07,116.802,
2002-08,111.949,
2002-09,111.008,
2002-10,111.411,
2002-11,114.015,
2002-12,125.681,
2003-01,121.431,
2003-02,116.284,
2003-03,119.810,
2003-04,122.350,
2003-05,119.745,
2003-06,123.444,
2003-07,127.473,
2003-08,126.374,
2003-09,131.162,
2003-10,128.100,
2003-11,128.652,
2003-12,127.289,
2004-01,115.150,
2004-02,114.796,
2004-03,111.678,
2004-04,111.089,
2004-05,106.529,
2004-06,110.701,
2004-07,116.376,
2004-08,115.202,
2004-09,113.965,
2004-10,116.110,
2004-11,114.901,
2004-12,117.138,
2005-01,110.326,
2005-02,112.628,
2005-03,113.682,
2005-04,112.450,
2005-05,118.373,
2005-06,126.210,
2005-07,125.376,
2005-08,125.205,
2005-09,119.936,
2005-10,120.060,
2005-11,118.970,
2005-12,119.866,
2006-01,120.863,
2006-02,123.443,
2006-03,121.786,
2006-04,123.576,
2006-05,123.317,
2006-06,121.233,
2006-07,119.142,
2006-08,118.256,
2006-09,119.215,
2006-10,117.129,
2006-11,118.550,
2006-12,124.148,
2007-01,122.696,
2007-02,115.606,
2007-03,118.946,
2007-04,115.012,
2007-05,112.227,
2007-06,106.141,
2007-07,103.682,
2007-08,102.631,
2007-09,110.504,
2007-10,109.011,
2007-11,105.446,
2007-12,104.828,
2008-01,108.899,
2008-02,108.740,
2008-03,111.913,
2008-04,110.709,
2008-05,115.242,
2008-06,110.776,
2008-07,98.380,
2008-08,99.513,
2008-09,105.323,
2008-10,90.524,
2008-11,87.373,
2008-12,85.514,
2009-01,78.628,
2009-02,77.155,
2009-03,75.807,
2009-04,74.182,
2009-05,74.346,
2009-06,74.964,
2009-07,72.284,
2009-08,71.583,
2009-09,73.798,
