"",BBK01.OECL02O,BBK01.OECL02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:28,
2002-01,0.609,
2002-04,0.770,
2002-07,0.738,
2002-10,0.780,
2003-01,0.759,
2003-04,0.827,
2003-07,0.784,
2003-10,0.822,
2004-01,0.762,
2004-04,0.798,
2004-07,0.785,
2004-10,0.840,
2005-01,1.241,
2005-04,1.298,
2005-07,1.280,
2005-10,1.310,
2006-01,1.300,
2006-04,1.300,
2006-07,1.231,
2006-10,1.301,
2007-01,1.251,
2007-04,1.378,
2007-07,1.420,
2007-10,1.504,
2008-01,1.413,
2008-04,1.396,
2008-07,1.448,
2008-10,1.752,
2009-01,1.879,
2009-04,1.940,
2009-07,1.932,
2009-10,1.916,
2010-01,1.983,
2010-04,2.085,
2010-07,2.070,
2010-10,2.072,
2011-01,1.984,
2011-04,2.009,
2011-07,2.090,
2011-10,2.107,
2012-01,2.126,
2012-04,2.188,
2012-07,2.215,
2012-10,2.284,
2013-01,2.300,
2013-04,2.365,
2013-07,2.323,
2013-10,2.428,
2014-01,2.428,
2014-04,2.482,
2014-07,2.542,
