"",BBK01.OECK05H,BBK01.OECK05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:03,
2002-01,0.008,
2002-04,0.005,
2002-07,0.006,
2002-10,0.007,
2003-01,0.008,
2003-04,0.008,
2003-07,0.012,
2003-10,0.013,
2004-01,0.016,
2004-04,0.024,
2004-07,0.020,
2004-10,0.022,
2005-01,0.030,
2005-04,0.030,
2005-07,0.030,
2005-10,0.029,
2006-01,0.027,
2006-04,0.031,
2006-07,0.032,
2006-10,0.032,
2007-01,0.030,
2007-04,0.030,
2007-07,0.032,
2007-10,0.030,
2008-01,0.028,
2008-04,0.023,
2008-07,0.032,
2008-10,0.045,
2009-01,0.052,
2009-04,0.055,
2009-07,0.064,
2009-10,0.065,
2010-01,0.068,
2010-04,0.071,
2010-07,0.068,
2010-10,0.087,
2011-01,0.085,
2011-04,0.060,
2011-07,0.055,
2011-10,0.055,
2012-01,0.053,
2012-04,0.054,
2012-07,0.046,
2012-10,0.039,
2013-01,0.036,
2013-04,0.030,
2013-07,0.031,
2013-10,0.030,
2014-01,0.029,
2014-04,0.023,
2014-07,0.026,
