"",BBDE1.Q.DE.Y.LCB1.N2C000000.A.L.I08.A1,BBDE1.Q.DE.Y.LCB1.N2C000000.A.L.I08.A1_FLAGS
"",Index of gross wages and salaries / Germany / Section C - Manufacturing / Calendar and seasonally adjusted / (With 3 decimal places),
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:15,
1996-01,74.789,
1996-04,75.362,
1996-07,76.690,
1996-10,78.216,
1997-01,78.950,
1997-04,75.679,
1997-07,77.258,
1997-10,78.412,
1998-01,78.067,
1998-04,78.573,
1998-07,78.976,
1998-10,79.541,
1999-01,80.208,
1999-04,80.853,
1999-07,81.262,
1999-10,80.726,
2000-01,81.461,
2000-04,83.732,
2000-07,84.011,
2000-10,84.714,
2001-01,84.940,
2001-04,85.694,
2001-07,86.233,
2001-10,86.962,
2002-01,87.328,
2002-04,86.486,
2002-07,88.146,
2002-10,88.730,
2003-01,89.726,
2003-04,89.449,
2003-07,90.148,
2003-10,89.771,
2004-01,91.081,
2004-04,90.768,
2004-07,90.347,
2004-10,90.569,
2005-01,93.333,
2005-04,90.176,
2005-07,92.458,
2005-10,93.382,
2006-01,93.417,
2006-04,94.666,
2006-07,96.102,
2006-10,95.502,
2007-01,95.168,
2007-04,97.418,
2007-07,97.805,
2007-10,99.010,
2008-01,99.907,
2008-04,96.288,
2008-07,98.722,
2008-10,105.083,
2009-01,102.248,
2009-04,101.480,
2009-07,101.408,
2009-10,100.379,
2010-01,102.535,
2010-04,100.585,
2010-07,100.975,
2010-10,101.536,
2011-01,104.114,
2011-04,105.393,
2011-07,104.957,
2011-10,106.031,
2012-01,104.762,
2012-04,109.361,
2012-07,108.474,
2012-10,109.566,
2013-01,110.208,
2013-04,110.365,
2013-07,110.193,
2013-10,112.144,
2014-01,112.349,
2014-04,114.288,
2014-07,112.537,
