"",BBK01.OEBJ05V,BBK01.OEBJ05V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:35,
2002-01,0.028,
2002-04,0.043,
2002-07,0.045,
2002-10,0.043,
2003-01,0.042,
2003-04,0.038,
2003-07,0.038,
2003-10,0.039,
2004-01,0.021,
2004-04,0.019,
2004-07,0.018,
2004-10,0.017,
2005-01,0.039,
2005-04,0.039,
2005-07,0.039,
2005-10,0.045,
2006-01,0.049,
2006-04,0.043,
2006-07,0.039,
2006-10,0.039,
2007-01,0.040,
2007-04,0.058,
2007-07,0.058,
2007-10,0.058,
2008-01,0.055,
2008-04,0.053,
2008-07,0.061,
2008-10,0.070,
2009-01,0.070,
2009-04,0.100,
2009-07,0.141,
2009-10,0.151,
2010-01,0.152,
2010-04,0.157,
2010-07,0.178,
2010-10,0.154,
2011-01,0.175,
2011-04,0.176,
2011-07,0.168,
2011-10,0.168,
2012-01,0.202,
2012-04,0.204,
2012-07,0.203,
2012-10,0.202,
2013-01,0.197,
2013-04,0.208,
2013-07,0.200,
2013-10,0.147,
2014-01,0.191,
2014-04,0.294,
2014-07,0.283,
