"",BBK01.OECJ01S,BBK01.OECJ01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:15,
2002-01,0.642,
2002-04,0.692,
2002-07,0.673,
2002-10,0.685,
2003-01,0.606,
2003-04,0.599,
2003-07,0.592,
2003-10,0.615,
2004-01,0.532,
2004-04,0.528,
2004-07,0.522,
2004-10,0.603,
2005-01,0.696,
2005-04,0.533,
2005-07,0.533,
2005-10,0.626,
2006-01,0.534,
2006-04,0.572,
2006-07,0.604,
2006-10,0.810,
2007-01,0.764,
2007-04,0.622,
2007-07,0.569,
2007-10,0.699,
2008-01,0.568,
2008-04,0.572,
2008-07,0.583,
2008-10,0.639,
2009-01,0.575,
2009-04,0.570,
2009-07,0.553,
2009-10,0.686,
2010-01,0.602,
2010-04,0.645,
2010-07,0.645,
2010-10,0.758,
2011-01,0.625,
2011-04,0.608,
2011-07,0.619,
2011-10,0.753,
2012-01,0.704,
2012-04,0.705,
2012-07,0.697,
2012-10,0.801,
2013-01,0.704,
2013-04,0.705,
2013-07,0.696,
2013-10,0.780,
2014-01,0.708,
2014-04,0.741,
2014-07,0.777,
