"",BBK01.CELN01,BBK01.CELN01_FLAGS
"",Transferable deposits                                                     debtor: Total            creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:17,
1999-01,-5.2,
1999-04,-3.1,
1999-07,5.4,
1999-10,0.6,
2000-01,-5.0,
2000-04,3.7,
2000-07,-4.6,
2000-10,17.6,
2001-01,-12.4,
2001-04,3.1,
2001-07,2.9,
2001-10,19.5,
2002-01,-19.8,
2002-04,6.7,
2002-07,4.1,
2002-10,18.0,
2003-01,-20.1,
2003-04,9.9,
2003-07,2.6,
2003-10,13.2,
2004-01,-7.6,
2004-04,6.5,
2004-07,1.2,
2004-10,5.5,
2005-01,-5.8,
2005-04,7.3,
2005-07,3.4,
2005-10,16.0,
2006-01,-11.4,
2006-04,3.8,
2006-07,0.6,
2006-10,18.6,
2007-01,-9.6,
2007-04,2.0,
2007-07,-1.9,
2007-10,11.2,
2008-01,-11.0,
2008-04,-2.9,
2008-07,10.3,
2008-10,14.4,
2009-01,3.3,
2009-04,17.7,
2009-07,16.7,
2009-10,21.5,
2010-01,-1.8,
2010-04,-1.5,
2010-07,1.3,
2010-10,-1.4,
2011-01,-0.5,
2011-04,-4.2,
2011-07,7.2,
2011-10,21.8,
2012-01,-6.8,
2012-04,9.3,
2012-07,16.4,
2012-10,28.1,
2013-01,-24.3,
2013-04,4.9,
2013-07,18.9,
2013-10,12.1,
2014-01,-15.9,
2014-04,1.4,
2014-07,20.1,
