"",BBK01.OEBB17G,BBK01.OEBB17G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:38,
2002-01,36.165,
2002-04,37.884,
2002-07,38.397,
2002-10,39.226,
2003-01,39.591,
2003-04,39.870,
2003-07,40.659,
2003-10,41.353,
2004-01,41.834,
2004-04,43.587,
2004-07,47.608,
2004-10,49.431,
2005-01,28.256,
2005-04,28.612,
2005-07,20.953,
2005-10,21.149,
2006-01,21.413,
2006-04,21.444,
2006-07,21.763,
2006-10,21.315,
2007-01,21.491,
2007-04,21.999,
2007-07,22.204,
2007-10,21.972,
2008-01,22.097,
2008-04,22.381,
2008-07,22.406,
2008-10,22.636,
2009-01,22.888,
2009-04,24.993,
2009-07,25.145,
2009-10,24.930,
2010-01,24.723,
2010-04,24.456,
2010-07,24.393,
2010-10,23.832,
2011-01,24.069,
2011-04,23.958,
2011-07,23.973,
2011-10,23.946,
2012-01,23.755,
2012-04,23.715,
2012-07,23.694,
2012-10,23.690,
2013-01,23.697,
2013-04,23.722,
2013-07,23.862,
2013-10,23.973,
2014-01,24.053,
2014-04,24.254,
2014-07,24.547,
