"",BBEX3.M.DZD.EUR.CA.AB.A01,BBEX3.M.DZD.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Algeria / EUR 1 = DZD ... (selling),
unit,DZD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:06,
1999-01,70.7946,
1999-02,71.0647,
1999-03,70.9697,
1999-04,71.3893,
1999-05,70.9900,
1999-06,70.5945,
1999-07,71.6269,
1999-08,71.1316,
1999-09,71.3288,
1999-10,71.0732,
1999-11,69.9476,
1999-12,69.8648,
2000-01,69.4459,
2000-02,70.3869,
2000-03,70.3256,
2000-04,69.3819,
2000-05,70.0063,
2000-06,70.6537,
2000-07,69.7995,
2000-08,69.0182,
2000-09,68.6676,
2000-10,67.5760,
2000-11,68.2014,
2000-12,69.9309,
2001-01,69.9841,
2001-02,69.8568,
2001-03,68.7754,
2001-04,69.0420,
2001-05,67.9089,
2001-06,67.8985,
2001-07,68.6747,
2001-08,69.8415,
2001-09,69.7470,
2001-10,69.5357,
2001-11,69.0300,
2001-12,69.0157,
2002-01,68.3301,
2002-02,68.9288,
2002-03,70.0068,
2002-04,72.2390,
2002-05,75.0151,
2002-06,79.3344,
2002-07,78.4128,
2002-08,78.7826,
2002-09,78.7309,
2002-10,78.8656,
2002-11,79.3651,
2002-12,83.4885,
2003-01,86.1947,
2003-02,85.8958,
2003-03,86.6838,
2003-04,88.5832,
2003-05,94.2381,
2003-06,89.9532,
2003-07,88.1116,
2003-08,84.8638,
2003-09,89.9861,
2003-10,88.2390,
2003-11,83.1788,
2003-12,91.5286,
2004-01,88.7240,
2004-02,88.5361,
2004-03,87.3483,
2004-04,85.4370,
2004-05,87.0941,
2004-06,86.7538,
2004-07,87.5615,
2004-08,87.7814,
2004-09,89.4903,
2004-10,93.2595,
2004-11,96.9711,
2004-12,99.1495,
2005-01,94.6345,
2005-02,95.8659,
2005-03,94.3950,
2005-04,94.5245,
2005-05,91.4754,
2005-06,89.1196,
2005-07,89.6549,
2005-08,90.1021,
2005-09,88.5583,
2005-10,88.5382,
2005-11,87.6486,
2005-12,86.9079,
2006-01,88.1700,
2006-02,88.0331,
2006-03,89.5666,
2006-04,90.7782,
2006-05,93.8775,
2006-06,93.1527,
2006-07,93.4377,
2006-08,92.8022,
2006-09,91.3833,
2006-10,91.5203,
2006-11,93.8346,
2006-12,93.7423,
2007-01,92.6770,
2007-02,93.8673,
2007-03,94.4538,
2007-04,95.6764,
2007-05,94.9579,
2007-06,94.1278,
2007-07,94.0929,
2007-08,93.6993,
2007-09,96.0191,
2007-10,97.1327,
2007-11,98.6421,
2007-12,98.0295,
2008-01,99.0463,
2008-02,100.4494,
2008-03,103.4250,
2008-04,99.3371,
2008-05,97.5398,
2008-06,97.5950,
2008-07,96.0582,
2008-08,89.8373,
2008-09,86.8617,
2008-10,85.3537,
2008-11,90.6109,
2008-12,99.1497,
2009-01,92.6196,
2009-02,92.0531,
2009-03,97.3532,
2009-04,96.5840,
2009-05,102.1041,
2009-06,102.7715,
2009-07,103.2091,
2009-08,104.3927,
2009-09,105.9259,
2009-10,107.2678,
2009-11,108.5212,
2009-12,104.6720,
2010-01,102.6028,
2010-02,99.9197,
2010-03,99.4656,
2010-04,97.9801,
2010-05,92.8885,
2010-06,95.1997,
2010-07,97.5194,
2010-08,96.3259,
2010-09,101.9692,
2010-10,103.0873,
2010-11,101.2637,
2010-12,103.5142,
2011-01,102.4600,
2011-02,100.3905,
2011-03,102.3081,
2011-04,105.9943,
2011-05,103.7399,
2011-06,103.8903,
2011-07,102.9482,
2011-08,103.9182,
2011-09,99.9229,
2011-10,102.2716,
2011-11,99.9742,
2011-12,106.6196,
2012-01,104.5767,
2012-02,101.1188,
2012-03,101.6738,
2012-04,102.6828,
2012-05,99.6409,
2012-06,101.5465,
2012-07,102.2129,
2012-08,101.9811,
2012-09,102.5588,
2012-10,102.8197,
2012-11,101.9561,
2012-12,103.0444,
2013-01,104.9261,
2013-02,102.9386,
2013-03,101.3139,
2013-04,103.1324,
2013-05,102.7480,
2013-06,104.5601,
2013-07,105.2970,
2013-08,107.4829,
2013-09,110.1538,
2013-10,110.5362,
2013-11,108.5187,
2013-12,106.9203,
2014-01,105.8362,
2014-02,106.8973,
2014-03,108.3332,
2014-04,108.8194,
2014-05,107.7272,
2014-06,108.2417,
2014-07,106.9555,
2014-08,105.8890,
2014-09,105.1026,
2014-10,105.4440,
2014-11,107.2303,
2014-12,106.9326,
2015-01,105.4084,
"","Source: Banque d'Algerie, Algiers.",
