"",BBDE1.M.DE.Y.AED5.A2P300000.F.C.I10.A,BBDE1.M.DE.Y.AED5.A2P300000.F.C.I10.A_FLAGS
"","Orders received from abroad, Non-euro-area countries / At constant prices / Germany / Industry / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:26,
2003-01,69.6,
2003-02,69.2,
2003-03,69.8,
2003-04,68.9,
2003-05,68.5,
2003-06,70.1,
2003-07,70.9,
2003-08,73.1,
2003-09,75.4,
2003-10,74.9,
2003-11,75.0,
2003-12,77.9,
2004-01,73.7,
2004-02,74.3,
2004-03,78.4,
2004-04,80.5,
2004-05,82.0,
2004-06,78.9,
2004-07,77.3,
2004-08,76.2,
2004-09,78.7,
2004-10,75.6,
2004-11,77.5,
2004-12,84.0,
2005-01,82.3,
2005-02,79.8,
2005-03,81.9,
2005-04,80.7,
2005-05,81.4,
2005-06,86.8,
2005-07,88.4,
2005-08,84.2,
2005-09,89.9,
2005-10,90.9,
2005-11,91.5,
2005-12,87.4,
2006-01,94.1,
2006-02,92.9,
2006-03,92.6,
2006-04,95.8,
2006-05,94.9,
2006-06,94.9,
2006-07,101.7,
2006-08,103.4,
2006-09,96.7,
2006-10,99.3,
2006-11,99.2,
2006-12,99.2,
2007-01,100.1,
2007-02,105.1,
2007-03,104.8,
2007-04,103.6,
2007-05,108.4,
2007-06,106.2,
2007-07,106.9,
2007-08,108.6,
2007-09,107.6,
2007-10,112.6,
2007-11,110.6,
2007-12,110.0,
2008-01,110.7,
2008-02,111.9,
2008-03,109.7,
2008-04,113.2,
2008-05,106.3,
2008-06,102.7,
2008-07,98.9,
2008-08,107.9,
2008-09,96.1,
2008-10,91.4,
2008-11,85.4,
2008-12,79.7,
2009-01,66.2,
2009-02,66.5,
2009-03,70.1,
2009-04,69.4,
2009-05,73.5,
2009-06,77.0,
2009-07,77.8,
2009-08,81.5,
2009-09,85.3,
2009-10,82.4,
2009-11,86.6,
2009-12,86.7,
2010-01,87.8,
2010-02,89.6,
2010-03,91.5,
2010-04,95.8,
2010-05,99.0,
2010-06,100.1,
2010-07,100.3,
2010-08,102.2,
2010-09,101.4,
2010-10,101.7,
2010-11,117.7,
2010-12,107.8,
2011-01,111.4,
2011-02,111.6,
2011-03,106.4,
2011-04,108.1,
2011-05,106.2,
2011-06,115.5,
2011-07,107.7,
2011-08,106.0,
2011-09,104.5,
2011-10,107.2,
2011-11,101.0,
2011-12,113.7,
2012-01,105.3,
2012-02,109.3,
2012-03,116.3,
2012-04,111.4,
2012-05,111.7,
2012-06,110.9,
2012-07,112.0,
2012-08,111.1,
2012-09,109.8,
2012-10,118.8,
2012-11,111.2,
2012-12,112.8,
2013-01,109.8,
2013-02,113.5,
2013-03,115.0,
2013-04,113.9,
2013-05,116.5,
2013-06,119.7,
2013-07,116.6,
2013-08,116.5,
2013-09,120.2,
2013-10,120.8,
2013-11,120.7,
2013-12,119.1,
2014-01,123.4,
2014-02,120.2,
2014-03,119.7,
2014-04,122.0,
2014-05,116.9,
2014-06,117.8,
2014-07,127.9,
2014-08,118.6,
2014-09,123.6,
2014-10,124.8,
2014-11,121.1,
2014-12,126.0,Provisional value
