"",BBK01.OEAH38O,BBK01.OEAH38O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:01,
2002-01,1.174,
2002-04,1.184,
2002-07,1.144,
2002-10,1.207,
2003-01,1.213,
2003-04,1.192,
2003-07,1.159,
2003-10,1.128,
2004-01,1.117,
2004-04,1.112,
2004-07,1.150,
2004-10,1.116,
2005-01,1.151,
2005-04,1.140,
2005-07,1.157,
2005-10,1.119,
2006-01,1.127,
2006-04,1.094,
2006-07,1.106,
2006-10,1.111,
2007-01,1.113,
2007-04,1.100,
2007-07,1.083,
2007-10,1.025,
2008-01,1.023,
2008-04,1.020,
2008-07,1.011,
2008-10,0.991,
2009-01,1.003,
2009-04,1.044,
2009-07,1.075,
2009-10,1.139,
2010-01,1.186,
2010-04,1.173,
2010-07,1.181,
2010-10,1.198,
2011-01,1.237,
2011-04,1.327,
2011-07,1.372,
2011-10,1.335,
2012-01,1.309,
2012-04,1.298,
2012-07,1.285,
2012-10,1.273,
2013-01,1.264,
2013-04,1.259,
2013-07,1.256,
2013-10,1.216,
2014-01,1.254,
2014-04,1.208,
2014-07,1.186,
