"",BBK01.OEBB12Q,BBK01.OEBB12Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:19,
2002-01,3.267,
2002-04,3.311,
2002-07,3.345,
2002-10,3.393,
2003-01,3.375,
2003-04,3.349,
2003-07,3.379,
2003-10,3.434,
2004-01,3.393,
2004-04,3.441,
2004-07,3.361,
2004-10,3.316,
2005-01,3.274,
2005-04,3.144,
2005-07,3.033,
2005-10,2.915,
2006-01,2.816,
2006-04,2.785,
2006-07,2.711,
2006-10,2.804,
2007-01,2.673,
2007-04,2.513,
2007-07,2.454,
2007-10,2.428,
2008-01,2.339,
2008-04,2.329,
2008-07,2.236,
2008-10,2.262,
2009-01,2.205,
2009-04,2.325,
2009-07,2.246,
2009-10,2.437,
2010-01,2.345,
2010-04,2.308,
2010-07,2.254,
2010-10,2.234,
2011-01,2.174,
2011-04,2.208,
2011-07,2.151,
2011-10,2.190,
2012-01,2.126,
2012-04,2.115,
2012-07,2.160,
2012-10,2.163,
2013-01,2.150,
2013-04,2.159,
2013-07,2.124,
2013-10,2.151,
2014-01,2.156,
2014-04,2.165,
2014-07,2.153,
