"",BBAI3.Q.DE.N.V.LE.F7.S1252.A1.S.1.N.E.Z,BBAI3.Q.DE.N.V.LE.F7.S1252.A1.S.1.N.E.Z_FLAGS
"",Assets / Pension undertakings / Other accounts receivable/payable / World / Total economy including non-residents (all sectors) / Outstanding amounts at the end of the period (stocks),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:27:49,
2005-10,6645,
2006-01,6635,
2006-04,6642,
2006-07,6667,
2006-10,6683,
2007-01,6639,
2007-04,6594,
2007-07,6577,
2007-10,6551,
2008-01,6898,
2008-04,7279,
2008-07,7706,
2008-10,8150,
2009-01,8099,
2009-04,8048,
2009-07,8022,
2009-10,7990,
2010-01,8061,
2010-04,8138,
2010-07,8218,
2010-10,11848,
2011-01,11541,
2011-04,11341,
2011-07,11222,
2011-10,11603,
2012-01,11324,
2012-04,11397,
2012-07,11516,
2012-10,11681,
2013-01,11802,
2013-04,11882,
2013-07,12009,
2013-10,13006,
2014-01,12362,
2014-04,12485,
2014-07,12592,
