"",BBNZ1.Q.DE.N.I.0108.A,BBNZ1.Q.DE.N.I.0108.A_FLAGS
"",Germany / National accounts / Use of GDP / Domestic demand / Price index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:45,
1991-01,75.31,
1991-04,77.15,
1991-07,77.76,
1991-10,80.66,
1992-01,79.04,
1992-04,80.64,
1992-07,81.40,
1992-10,83.61,
1993-01,82.58,
1993-04,83.93,
1993-07,84.11,
1993-10,86.09,
1994-01,84.74,
1994-04,85.39,
1994-07,85.67,
1994-10,87.50,
1995-01,85.96,
1995-04,86.91,
1995-07,87.20,
1995-10,88.77,
1996-01,86.92,
1996-04,87.44,
1996-07,87.54,
1996-10,89.33,
1997-01,87.67,
1997-04,87.89,
1997-07,88.22,
1997-10,89.76,
1998-01,87.72,
1998-04,88.34,
1998-07,88.35,
1998-10,89.56,
1999-01,87.69,
1999-04,88.25,
1999-07,88.55,
1999-10,89.86,
2000-01,88.44,
2000-04,88.63,
2000-07,89.37,
2000-10,90.84,
2001-01,89.45,
2001-04,89.81,
2001-07,90.55,
2001-10,91.95,
2002-01,90.55,
2002-04,90.54,
2002-07,91.15,
2002-10,92.52,
2003-01,91.60,
2003-04,91.38,
2003-07,92.18,
2003-10,93.01,
2004-01,92.13,
2004-04,92.66,
2004-07,93.19,
2004-10,94.20,
2005-01,93.33,
2005-04,93.49,
2005-07,94.39,
2005-10,95.45,
2006-01,94.19,
2006-04,94.63,
2006-07,95.12,
2006-10,96.08,
2007-01,95.66,
2007-04,96.12,
2007-07,96.63,
2007-10,98.16,
2008-01,97.10,
2008-04,97.80,
2008-07,98.50,
2008-10,99.07,
2009-01,97.22,
2009-04,97.97,
2009-07,98.48,
2009-10,100.11,
2010-01,98.63,
2010-04,99.31,
2010-07,100.01,
2010-10,101.99,
2011-01,100.79,
2011-04,101.69,
2011-07,101.95,
2011-10,103.91,
2012-01,102.60,
2012-04,103.25,
2012-07,103.70,
2012-10,105.78,
2013-01,104.40,
2013-04,104.99,
2013-07,105.18,
2013-10,107.23,
2014-01,105.90,
2014-04,106.47,
2014-07,106.51,
2014-10,108.43,
