"",BBFN1.M.DE.N.1.A.HU.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.HU.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Hungary,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:15:43,
1975-12,0.001,
1976-01,0.002,
1976-02,0.003,
1976-03,0.002,
1976-04,0.002,
1976-05,0.002,
1976-06,0.002,
1976-07,0.002,
1976-08,0.002,
1976-09,0.002,
1976-10,0.002,
1976-11,0.002,
1976-12,0.002,
1977-01,0.002,
1977-02,0.002,
1977-03,0.002,
1977-04,0.002,
1977-05,0.002,
1977-06,0.002,
1977-07,0.002,
1977-08,0.001,
1977-09,0.001,
1977-10,0.001,
1977-11,0.001,
1977-12,0.001,
1978-01,0.001,
1978-02,0.001,
1978-03,0.002,
1978-04,0.002,
1978-05,0.002,
1978-06,0.002,
1978-07,0.002,
1978-08,0.002,
1978-09,0.002,
1978-10,0.002,
1978-11,0.001,
1978-12,0.001,
1979-01,0.001,
1979-02,0.001,
1979-03,0.001,
1979-04,0.001,
1979-05,0.001,
1979-06,-,Nothing exists
1979-07,0.001,
1979-08,-,Nothing exists
1979-09,-,Nothing exists
1979-10,-,Nothing exists
1979-11,-,Nothing exists
1979-12,-,Nothing exists
1980-01,-,Nothing exists
1980-02,0.001,
1980-03,0.001,
1980-04,0.001,
1980-05,0.001,
1980-06,0.001,
1980-07,0.001,
1980-08,0.001,
1980-09,0.001,
1980-10,0.001,
1980-11,0.002,
1980-12,0.001,
1981-01,0.001,
1981-02,0.001,
1981-03,0.001,
1981-04,0.001,
1981-05,0.001,
1981-06,0.001,
1981-07,0.001,
1981-08,0.001,
1981-09,0.001,
1981-10,0.001,
1981-11,0.001,
1981-12,0.001,
1982-01,0.001,
1982-02,0.001,
1982-03,0.001,
1982-04,0.001,
1982-05,0.001,
1982-06,0.001,
1982-07,0.001,
1982-08,0.001,
1982-09,0.001,
1982-10,0.001,
1982-11,0.001,
1982-12,0.004,
1983-01,0.004,
1983-02,0.004,
1983-03,0.001,
1983-04,0.001,
1983-05,0.027,
1983-06,0.027,
1983-07,0.026,
1983-08,0.026,
1983-09,0.027,
1983-10,0.027,
1983-11,0.001,
1983-12,0.002,
1984-01,0.006,
1984-02,0.036,
1984-03,0.036,
1984-04,0.034,
1984-05,0.035,
1984-06,0.035,
1984-07,0.035,
1984-08,0.002,
1984-09,0.001,
1984-10,0.002,
1984-11,0.002,
1984-12,0.002,
1985-01,0.004,
1985-02,0.037,
1985-03,0.038,
1985-04,0.037,
1985-05,0.037,
1985-06,0.037,
1985-07,0.037,
1985-08,0.005,
1985-09,0.006,
1985-10,0.010,
1985-11,0.010,
1985-12,0.006,
1986-01,0.006,
1986-02,0.006,
1986-03,0.006,
1986-04,0.005,
1986-05,0.005,
1986-06,0.005,
1986-07,0.004,
1986-08,0.006,
1986-09,0.006,
1986-10,0.004,
1986-11,0.007,
1986-12,0.004,
1987-01,0.003,
1987-02,0.005,
1987-03,0.004,
1987-04,0.004,
1987-05,0.005,
1987-06,0.004,
1987-07,0.005,
1987-08,0.005,
1987-09,0.004,
1987-10,0.005,
1987-11,0.007,
1987-12,0.006,
1988-01,0.003,
1988-02,0.002,
1988-03,0.004,
1988-04,0.004,
1988-05,0.005,
1988-06,0.002,
1988-07,0.002,
1988-08,0.002,
1988-09,0.004,
1988-10,0.003,
1988-11,0.004,
1988-12,0.008,
1989-01,0.018,
1989-02,0.006,
1989-03,0.005,
1989-04,0.006,
1989-05,0.005,
1989-06,0.009,
1989-07,0.005,
1989-08,0.005,
1989-09,0.007,
1989-10,0.009,
1989-11,0.004,
1989-12,0.011,
1990-01,0.007,
1990-02,0.005,
1990-03,0.006,
1990-04,0.006,
1990-05,0.007,
1990-06,0.006,
1990-07,0.010,
1990-08,0.011,
1990-09,0.011,
1990-10,0.008,
1990-11,0.010,
1990-12,0.026,
1991-01,0.028,
1991-02,0.031,
1991-03,0.031,
1991-04,0.040,
1991-05,0.047,
1991-06,0.048,
1991-07,0.043,
1991-08,0.049,
1991-09,0.060,
1991-10,0.051,
1991-11,0.055,
1991-12,0.038,
1992-01,0.039,
1992-02,0.041,
1992-03,0.038,
1992-04,0.040,
1992-05,0.041,
1992-06,0.043,
1992-07,0.056,
1992-08,0.064,
1992-09,0.098,
1992-10,0.065,
1992-11,0.059,
1992-12,0.052,
1993-01,0.053,
1993-02,0.060,
1993-03,0.068,
1993-04,0.077,
1993-05,0.080,
1993-06,0.056,
1993-07,0.056,
1993-08,0.046,
1993-09,0.055,
1993-10,0.053,
1993-11,0.064,
1993-12,0.071,
1994-01,0.054,
1994-02,0.047,
1994-03,0.046,
1994-04,0.046,
1994-05,0.057,
1994-06,0.054,
1994-07,0.062,
1994-08,0.055,
1994-09,0.056,
1994-10,0.063,
1994-11,0.060,
1994-12,0.054,
1995-01,0.058,
1995-02,0.050,
1995-03,0.055,
1995-04,0.067,
1995-05,0.072,
1995-06,0.066,
1995-07,0.081,
1995-08,0.079,
1995-09,0.085,
1995-10,0.084,
1995-11,0.097,
1995-12,0.088,
1996-01,0.064,
1996-02,0.066,
1996-03,0.064,
1996-04,0.066,
1996-05,0.081,
1996-06,0.081,
1996-07,0.083,
1996-08,0.081,
1996-09,0.097,
1996-10,0.086,
1996-11,0.088,
1996-12,0.086,
1997-01,0.089,
1997-02,0.094,
1997-03,0.098,
1997-04,0.099,
1997-05,0.098,
1997-06,0.114,
1997-07,0.115,
1997-08,0.112,
1997-09,0.133,
1997-10,0.144,
1997-11,0.133,
1997-12,0.141,
1998-01,0.124,
1998-02,0.125,
1998-03,0.125,
1998-04,0.133,
1998-05,0.129,
1998-06,0.144,
1998-07,0.145,
1998-08,0.145,
1998-09,0.137,
1998-10,0.139,
1998-11,0.137,
1998-12,0.257,
1999-01,0.134,
1999-02,0.135,
1999-03,0.151,
1999-04,0.155,
1999-05,0.177,
1999-06,0.168,
1999-07,0.157,
1999-08,0.163,
1999-09,0.158,
1999-10,0.141,
1999-11,0.133,
1999-12,0.121,
2000-01,0.149,
2000-02,0.163,
2000-03,0.176,
2000-04,0.197,
2000-05,0.189,
2000-06,0.164,
2000-07,0.165,
2000-08,0.185,
2000-09,0.158,
2000-10,0.171,
2000-11,0.183,
2000-12,0.210,
2001-01,0.229,
2001-02,0.237,
2001-03,0.236,
2001-04,0.247,
2001-05,0.251,
2001-06,0.252,
2001-07,0.242,
2001-08,0.248,
2001-09,0.319,
2001-10,0.348,
2001-11,0.351,
2001-12,0.376,
2002-01,0.451,
2002-02,0.469,
2002-03,0.413,
2002-04,0.459,
2002-05,0.480,
2002-06,0.443,
2002-07,0.437,
2002-08,0.486,
2002-09,0.472,
2002-10,0.467,
2002-11,0.480,
2002-12,0.498,
2003-01,0.509,
2003-02,0.471,
2003-03,0.488,
2003-04,0.522,
2003-05,0.531,
2003-06,0.599,
2003-07,0.562,
2003-08,0.558,
2003-09,0.566,
2003-10,0.621,
2003-11,0.555,
2003-12,0.534,
2004-01,0.578,
2004-02,0.560,
2004-03,0.579,
2004-04,0.550,
2004-05,0.548,
2004-06,0.574,
2004-07,0.612,
2004-08,0.603,
2004-09,0.580,
2004-10,0.534,
2004-11,0.634,
2004-12,0.594,
2005-01,0.549,
2005-02,0.567,
2005-03,0.546,
2005-04,0.568,
2005-05,0.592,
2005-06,0.622,
2005-07,0.598,
2005-08,0.560,
2005-09,0.531,
2005-10,0.498,
2005-11,0.555,
2005-12,0.467,
2006-01,0.502,
2006-02,0.531,
2006-03,1.095,
2006-04,1.199,
2006-05,1.182,
2006-06,1.282,
2006-07,1.526,
2006-08,0.579,
2006-09,0.674,
2006-10,0.595,
2006-11,0.571,
2006-12,0.721,
2007-01,0.660,
2007-02,0.714,
2007-03,0.638,
2007-04,0.663,
2007-05,0.660,
2007-06,0.691,
2007-07,0.788,
2007-08,0.816,
2007-09,0.847,
2007-10,0.753,
2007-11,0.655,
2007-12,0.733,
2008-01,0.692,
2008-02,0.809,
2008-03,1.195,
2008-04,1.176,
2008-05,1.228,
2008-06,1.250,
2008-07,1.389,
2008-08,1.313,
2008-09,1.610,
2008-10,1.656,
2008-11,2.156,
2008-12,1.941,
2009-01,1.649,
2009-02,1.549,
2009-03,1.344,
2009-04,1.325,
2009-05,1.688,
2009-06,1.600,
2009-07,1.673,
2009-08,1.649,
2009-09,1.747,
2009-10,2.077,
2009-11,2.130,
2009-12,2.344,
2010-01,2.238,
2010-02,2.197,
2010-03,2.172,
2010-04,2.046,
2010-05,2.138,
2010-06,1.921,
2010-07,1.883,
2010-08,1.925,
2010-09,2.020,
2010-10,2.133,
2010-11,2.077,
2010-12,2.100,
2011-01,2.174,
2011-02,2.579,
2011-03,1.907,
2011-04,1.763,
2011-05,1.606,
2011-06,1.532,
2011-07,1.542,
2011-08,2.164,
2011-09,1.787,
2011-10,1.823,
2011-11,1.606,
2011-12,1.522,
2012-01,1.552,
2012-02,2.010,
2012-03,1.714,
2012-04,1.392,
2012-05,1.347,
2012-06,1.746,
2012-07,1.548,
2012-08,1.328,
2012-09,1.840,
2012-10,1.499,
2012-11,2.019,
2012-12,1.506,
2013-01,1.201,
2013-02,1.382,
2013-03,1.901,
2013-04,1.311,
2013-05,1.535,
2013-06,1.648,
2013-07,1.418,
2013-08,1.443,
2013-09,1.581,
2013-10,1.676,
2013-11,1.762,
2013-12,1.967,
2014-01,2.152,
2014-02,2.117,
2014-03,1.516,
2014-04,1.391,
2014-05,1.227,
2014-06,1.370,
2014-07,1.091,
2014-08,1.144,
2014-09,1.157,
2014-10,1.179,
2014-11,1.203,
2014-12,1.706,
