"",BBK01.OEYJ02M,BBK01.OEYJ02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:37,
2002-01,3.186,
2002-04,3.730,
2002-07,2.360,
2002-10,2.820,
2003-01,2.804,
2003-04,3.171,
2003-07,3.263,
2003-10,3.045,
2004-01,2.403,
2004-04,2.557,
2004-07,3.237,
2004-10,2.831,
2005-01,3.139,
2005-04,2.759,
2005-07,2.849,
2005-10,3.468,
2006-01,2.602,
2006-04,2.541,
2006-07,2.848,
2006-10,3.196,
2007-01,3.440,
2007-04,2.833,
2007-07,3.477,
2007-10,3.063,
2008-01,3.329,
2008-04,2.896,
2008-07,2.757,
2008-10,4.367,
2009-01,4.371,
2009-04,3.439,
2009-07,4.984,
2009-10,4.853,
2010-01,4.159,
2010-04,7.229,
2010-07,4.908,
2010-10,4.563,
2011-01,4.880,
2011-04,5.443,
2011-07,5.448,
2011-10,5.334,
2012-01,5.806,
2012-04,5.476,
2012-07,6.114,
2012-10,6.864,
2013-01,7.578,
2013-04,8.403,
2013-07,6.369,
2013-10,6.684,
2014-01,6.979,
2014-04,6.507,
2014-07,7.150,
