"",BBK01.OEYB13G,BBK01.OEYB13G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:26,
2002-01,14.659,
2002-04,14.692,
2002-07,14.598,
2002-10,14.589,
2003-01,14.417,
2003-04,14.337,
2003-07,13.951,
2003-10,13.687,
2004-01,13.480,
2004-04,13.304,
2004-07,13.238,
2004-10,13.045,
2005-01,12.928,
2005-04,12.764,
2005-07,15.388,
2005-10,15.386,
2006-01,14.642,
2006-04,14.524,
2006-07,14.163,
2006-10,13.903,
2007-01,13.744,
2007-04,13.611,
2007-07,13.481,
2007-10,13.356,
2008-01,13.221,
2008-04,13.398,
2008-07,13.387,
2008-10,13.286,
2009-01,13.220,
2009-04,13.204,
2009-07,13.136,
2009-10,12.855,
2010-01,12.965,
2010-04,13.061,
2010-07,13.048,
2010-10,13.075,
2011-01,13.203,
2011-04,13.203,
2011-07,13.076,
2011-10,12.961,
2012-01,12.787,
2012-04,12.769,
2012-07,12.616,
2012-10,12.438,
2013-01,12.188,
2013-04,12.114,
2013-07,11.775,
2013-10,11.598,
2014-01,11.525,
2014-04,11.435,
2014-07,11.471,
