"",BBK01.OEBL03V,BBK01.OEBL03V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:18,
2002-01,0.569,
2002-04,0.551,
2002-07,0.534,
2002-10,0.518,
2003-01,0.480,
2003-04,0.440,
2003-07,0.400,
2003-10,0.367,
2004-01,0.353,
2004-04,0.324,
2004-07,0.302,
2004-10,0.216,
2005-01,0.451,
2005-04,0.440,
2005-07,0.414,
2005-10,0.403,
2006-01,0.420,
2006-04,0.427,
2006-07,0.464,
2006-10,0.582,
2007-01,0.613,
2007-04,0.624,
2007-07,0.682,
2007-10,0.804,
2008-01,0.922,
2008-04,0.992,
2008-07,1.180,
2008-10,1.290,
2009-01,1.162,
2009-04,1.081,
2009-07,0.879,
2009-10,0.736,
2010-01,0.678,
2010-04,0.665,
2010-07,0.573,
2010-10,0.511,
2011-01,0.528,
2011-04,0.502,
2011-07,0.465,
2011-10,0.582,
2012-01,0.618,
2012-04,0.609,
2012-07,0.549,
2012-10,0.457,
2013-01,0.409,
2013-04,0.404,
2013-07,0.373,
2013-10,0.368,
2014-01,0.370,
2014-04,0.374,
2014-07,0.365,
