"",BBK01.OEAC51I,BBK01.OEAC51I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:04,
2002-01,0.233,
2002-04,0.231,
2002-07,0.226,
2002-10,0.218,
2003-01,0.215,
2003-04,0.207,
2003-07,0.198,
2003-10,0.193,
2004-01,0.187,
2004-04,0.184,
2004-07,0.183,
2004-10,0.180,
2005-01,0.165,
2005-04,0.164,
2005-07,0.159,
2005-10,0.155,
2006-01,0.155,
2006-04,0.155,
2006-07,0.151,
2006-10,0.146,
2007-01,0.145,
2007-04,0.149,
2007-07,0.151,
2007-10,0.149,
2008-01,0.151,
2008-04,0.148,
2008-07,0.145,
2008-10,0.143,
2009-01,0.131,
2009-04,0.137,
2009-07,0.123,
2009-10,0.121,
2010-01,0.101,
2010-04,0.106,
2010-07,0.112,
2010-10,0.126,
2011-01,0.128,
2011-04,0.130,
2011-07,0.158,
2011-10,0.177,
2012-01,0.185,
2012-04,0.190,
2012-07,0.187,
2012-10,0.186,
2013-01,0.186,
2013-04,0.197,
2013-07,0.195,
2013-10,0.203,
2014-01,0.205,
2014-04,0.210,
2014-07,0.214,
