"",BBNZ1.Q.DE.Y.G.0058.A,BBNZ1.Q.DE.Y.G.0058.A_FLAGS
"","Germany / National accounts / Origin of GDP / Wholesale / retail trade, transport and storage, hotel and restaurant services / At current prices / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-25 17:37:46,
1991-01,57.651,
1991-04,58.506,
1991-07,58.672,
1991-10,59.201,
1992-01,60.216,
1992-04,59.874,
1992-07,60.110,
1992-10,61.129,
1993-01,61.314,
1993-04,61.596,
1993-07,62.372,
1993-10,62.534,
1994-01,63.714,
1994-04,64.194,
1994-07,65.522,
1994-10,67.154,
1995-01,67.205,
1995-04,68.329,
1995-07,68.932,
1995-10,69.315,
1996-01,66.953,
1996-04,68.694,
1996-07,68.779,
1996-10,69.606,
1997-01,69.779,
1997-04,70.130,
1997-07,70.951,
1997-10,71.809,
1998-01,74.231,
1998-04,72.723,
1998-07,73.541,
1998-10,73.358,
1999-01,72.534,
1999-04,72.085,
1999-07,73.251,
1999-10,74.270,
2000-01,75.431,
2000-04,76.596,
2000-07,76.712,
2000-10,77.137,
2001-01,79.838,
2001-04,80.692,
2001-07,80.958,
2001-10,81.681,
2002-01,81.976,
2002-04,81.873,
2002-07,82.404,
2002-10,82.609,
2003-01,82.090,
2003-04,82.611,
2003-07,83.922,
2003-10,84.169,
2004-01,82.353,
2004-04,83.530,
2004-07,83.120,
2004-10,84.000,
2005-01,85.504,
2005-04,85.022,
2005-07,86.117,
2005-10,85.577,
2006-01,86.610,
2006-04,88.539,
2006-07,89.076,
2006-10,91.099,
2007-01,90.985,
2007-04,92.851,
2007-07,93.411,
2007-10,93.926,
2008-01,96.463,
2008-04,95.207,
2008-07,95.840,
2008-10,92.676,
2009-01,94.044,
2009-04,93.465,
2009-07,93.037,
2009-10,93.324,
2010-01,90.484,
2010-04,91.937,
2010-07,93.730,
2010-10,93.665,
2011-01,96.888,
2011-04,96.478,
2011-07,98.028,
2011-10,98.082,
2012-01,97.391,
2012-04,97.442,
2012-07,97.587,
2012-10,97.842,
2013-01,98.027,
2013-04,98.429,
2013-07,98.686,
2013-10,99.157,
2014-01,101.250,
2014-04,100.902,
2014-07,101.197,
2014-10,101.997,
