"",BBFB1.Q.N.DE.A1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.A1.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / America,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:32:23,
1991-01,1373.288,
1991-04,377.479,
1991-07,955.300,
1991-10,1198.443,
1992-01,1772.393,
1992-04,1472.046,
1992-07,1874.789,
1992-10,2496.292,
1993-01,1700.410,
1993-04,1955.029,
1993-07,1637.903,
1993-10,1792.036,
1994-01,567.645,
1994-04,654.862,
1994-07,449.821,
1994-10,479.636,
1995-01,655.813,
1995-04,1311.876,
1995-07,703.795,
1995-10,833.612,
1996-01,2003.001,
1996-04,1438.400,
1996-07,1691.016,
1996-10,1649.761,
1997-01,1750.312,
1997-04,1045.676,
1997-07,1537.948,
1997-10,1203.953,
1998-01,1963.153,
1998-04,1366.603,
1998-07,1311.581,
1998-10,1325.528,
1999-01,-78.796,
1999-04,1620.977,
1999-07,638.545,
1999-10,397.536,
2000-01,1374.369,
2000-04,857.774,
2000-07,1244.724,
2000-10,232.592,
2001-01,-554.468,
2001-04,-908.790,
2001-07,-566.349,
2001-10,-261.008,
2002-01,155.200,
2002-04,-670.835,
2002-07,-432.863,
2002-10,-735.105,
2003-01,251.459,
2003-04,-12.124,
2003-07,228.297,
2003-10,161.733,
2004-01,4392.814,
2004-04,3705.321,
2004-07,4731.542,
2004-10,5104.285,
2005-01,3091.892,
2005-04,2193.695,
2005-07,3436.190,
2005-10,3576.917,
2006-01,3959.571,
2006-04,2126.033,
2006-07,3888.705,
2006-10,4209.618,
2007-01,2625.753,
2007-04,-331.481,
2007-07,2443.533,
2007-10,2891.837,
2008-01,-2475.896,
2008-04,1009.122,
2008-07,6253.843,
2008-10,3111.383,
2009-01,1874.693,
2009-04,-1112.026,
2009-07,1491.948,
2009-10,1116.988,
2010-01,2410.752,
2010-04,-384.934,
2010-07,2155.244,
2010-10,2301.422,
2011-01,2010.244,
2011-04,-1016.070,
2011-07,2594.451,
2011-10,2627.866,
2012-01,2503.486,
2012-04,-540.167,
2012-07,2755.893,
2012-10,2918.867,
2013-01,664.972,
2013-04,-2623.016,
2013-07,701.985,
2013-10,807.512,
2014-01,497.291,Provisional value
2014-04,-2433.103,Provisional value
2014-07,540.823,Provisional value
