"",BBK01.OEAD10I,BBK01.OEAD10I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:58:03,
2002-01,0.397,
2002-04,0.366,
2002-07,0.385,
2002-10,0.350,
2003-01,0.314,
2003-04,0.371,
2003-07,0.381,
2003-10,0.390,
2004-01,0.366,
2004-04,0.335,
2004-07,0.318,
2004-10,0.284,
2005-01,0.307,
2005-04,0.307,
2005-07,0.311,
2005-10,0.330,
2006-01,0.331,
2006-04,0.336,
2006-07,0.367,
2006-10,0.349,
2007-01,0.361,
2007-04,0.338,
2007-07,0.335,
2007-10,0.344,
2008-01,0.351,
2008-04,0.321,
2008-07,0.342,
2008-10,0.270,
2009-01,0.317,
2009-04,0.317,
2009-07,0.284,
2009-10,0.269,
2010-01,0.213,
2010-04,0.224,
2010-07,0.213,
2010-10,0.181,
2011-01,0.286,
2011-04,0.251,
2011-07,0.243,
2011-10,0.243,
2012-01,0.252,
2012-04,0.252,
2012-07,0.245,
2012-10,0.239,
2013-01,0.230,
2013-04,0.224,
2013-07,0.248,
2013-10,0.276,
2014-01,0.255,
2014-04,0.253,
2014-07,0.249,
