"",BBK01.OXA8A8,BBK01.OXA8A8_FLAGS
"",Loans (including bills of exchange) to domestic self- employed persons (including sole proprietors),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:14:42,
1999-01,426.632,
1999-02,429.414,
1999-03,436.228,
1999-04,437.757,
1999-05,440.438,
1999-06,445.216,
1999-07,445.432,
1999-08,446.371,
1999-09,447.896,
1999-10,447.737,
1999-11,447.625,
1999-12,449.638,
2000-01,448.429,
2000-02,448.716,
2000-03,449.855,
2000-04,450.271,
2000-05,450.682,
2000-06,452.840,
2000-07,452.647,
2000-08,453.562,
2000-09,456.520,
2000-10,456.478,
2000-11,456.332,
2000-12,459.290,
2001-01,456.586,
2001-02,457.165,
2001-03,457.857,
2001-04,457.309,
2001-05,458.522,
2001-06,459.673,
2001-07,457.290,
2001-08,456.925,
2001-09,458.801,
2001-10,457.722,
2001-11,457.269,
2001-12,458.910,
2002-01,456.953,
2002-02,456.027,
2002-03,455.791,
2002-04,453.913,
2002-05,453.632,
2002-06,456.367,
2002-07,454.152,
2002-08,453.026,
2002-09,453.785,
2002-10,452.842,
2002-11,451.689,
2002-12,452.144,
2003-01,448.089,
2003-02,448.868,
2003-03,448.355,
2003-04,446.304,
2003-05,444.637,
2003-06,444.767,
2003-07,442.637,
2003-08,442.064,
2003-09,442.011,
2003-10,439.235,
2003-11,437.665,
2003-12,437.200,
2004-01,433.313,
2004-02,431.942,
2004-03,429.790,
2004-04,428.739,
2004-05,427.955,
2004-06,428.606,
2004-07,428.948,
2004-08,427.629,
2004-09,426.997,
2004-10,425.581,
2004-11,422.042,
2004-12,419.174,
2005-01,416.182,
2005-02,414.789,
2005-03,413.875,
2005-04,413.430,
2005-05,413.185,
2005-06,412.845,
2005-07,412.108,
2005-08,411.709,
2005-09,411.009,
2005-10,409.469,
2005-11,408.996,
2005-12,407.697,
2006-01,407.502,
2006-02,406.860,
2006-03,406.285,
2006-04,404.687,
2006-05,403.940,
2006-06,404.347,
2006-07,402.178,
2006-08,401.057,
2006-09,401.155,
2006-10,399.365,
2006-11,399.063,
2006-12,396.671,
2007-01,393.086,
2007-02,392.610,
2007-03,392.764,
2007-04,390.846,
2007-05,390.208,
2007-06,390.624,
2007-07,389.222,
2007-08,388.419,
2007-09,388.118,
2007-10,386.784,
2007-11,386.852,
2007-12,386.677,
2008-01,384.299,
2008-02,384.240,
2008-03,384.323,
2008-04,383.354,
2008-05,383.179,
2008-06,383.979,
2008-07,382.405,
2008-08,382.165,
2008-09,382.499,
2008-10,382.269,
2008-11,381.690,
2008-12,381.525,
2009-01,379.111,
2009-02,378.861,
2009-03,378.364,
2009-04,379.634,
2009-05,379.336,
2009-06,380.389,
2009-07,378.897,
2009-08,378.975,
2009-09,379.785,
2009-10,378.748,
2009-11,379.228,
2009-12,378.971,
2010-01,376.956,
2010-02,376.977,
2010-03,378.182,
2010-04,377.807,
2010-05,378.936,
2010-06,381.087,
2010-07,380.323,
2010-08,380.662,
2010-09,381.245,
2010-10,380.167,
2010-11,380.901,
2010-12,380.424,
2011-01,378.612,
2011-02,378.428,
2011-03,378.258,
2011-04,377.846,
2011-05,378.745,
2011-06,379.572,
2011-07,378.952,
2011-08,380.998,
2011-09,381.789,
2011-10,380.845,
2011-11,383.421,
2011-12,382.921,
2012-01,381.559,
2012-02,381.737,
2012-03,381.928,
2012-04,386.031,
2012-05,386.930,
2012-06,387.960,
2012-07,387.568,
2012-08,387.636,
2012-09,388.074,
2012-10,387.809,
2012-11,388.433,
2012-12,388.445,
2013-01,386.707,
2013-02,387.059,
2013-03,387.300,
2013-04,386.868,
2013-05,387.476,
2013-06,387.997,
2013-07,387.403,
2013-08,388.098,
2013-09,388.719,
2013-10,388.070,
2013-11,388.672,
2013-12,388.044,
2014-01,386.783,
2014-02,387.464,
2014-03,387.565,
2014-04,386.825,
2014-05,387.278,
2014-06,388.058,
2014-07,387.894,
2014-08,388.597,
2014-09,389.338,
2014-10,389.119,
2014-11,389.609,
2014-12,389.829,Provisional value
