"",BBK01.OEAN03Q,BBK01.OEAN03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:10,
2002-01,5.580,
2002-04,5.366,
2002-07,5.511,
2002-10,5.600,
2003-01,5.662,
2003-04,5.650,
2003-07,5.850,
2003-10,5.889,
2004-01,5.810,
2004-04,5.503,
2004-07,5.425,
2004-10,5.229,
2005-01,4.546,
2005-04,4.385,
2005-07,4.413,
2005-10,4.158,
2006-01,4.015,
2006-04,3.921,
2006-07,3.803,
2006-10,3.724,
2007-01,3.618,
2007-04,3.386,
2007-07,3.065,
2007-10,3.036,
2008-01,3.015,
2008-04,2.886,
2008-07,2.769,
2008-10,2.683,
2009-01,2.770,
2009-04,2.877,
2009-07,3.105,
2009-10,3.185,
2010-01,3.087,
2010-04,3.280,
2010-07,3.232,
2010-10,3.289,
2011-01,3.294,
2011-04,3.306,
2011-07,3.084,
2011-10,3.085,
2012-01,3.163,
2012-04,3.199,
2012-07,3.310,
2012-10,3.410,
2013-01,3.679,
2013-04,3.760,
2013-07,3.774,
2013-10,3.879,
2014-01,3.981,
2014-04,3.825,
2014-07,4.127,
