"",BBK01.OEXM02H,BBK01.OEXM02H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:43:35,
2002-01,0.245,
2002-04,0.204,
2002-07,0.157,
2002-10,0.179,
2003-01,0.271,
2003-04,0.222,
2003-07,0.204,
2003-10,0.116,
2004-01,0.064,
2004-04,0.076,
2004-07,0.075,
2004-10,0.112,
2005-01,0.097,
2005-04,0.124,
2005-07,0.106,
2005-10,0.212,
2006-01,0.134,
2006-04,0.218,
2006-07,0.173,
2006-10,0.144,
2007-01,0.089,
2007-04,0.090,
2007-07,0.240,
2007-10,0.149,
2008-01,0.431,
2008-04,0.108,
2008-07,0.126,
2008-10,0.214,
2009-01,0.293,
2009-04,0.242,
2009-07,0.179,
2009-10,0.170,
2010-01,0.224,
2010-04,0.156,
2010-07,0.108,
2010-10,0.164,
2011-01,0.125,
2011-04,0.134,
2011-07,0.261,
2011-10,0.149,
2012-01,0.223,
2012-04,0.515,
2012-07,0.509,
2012-10,0.616,
2013-01,0.411,
2013-04,0.429,
2013-07,0.507,
2013-10,0.365,
2014-01,0.564,
2014-04,0.403,
2014-07,0.303,
