"",BBK01.OEYB23V,BBK01.OEYB23V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:09,
2002-01,0.090,
2002-04,0.089,
2002-07,0.104,
2002-10,0.364,
2003-01,0.324,
2003-04,0.346,
2003-07,0.358,
2003-10,0.370,
2004-01,0.371,
2004-04,0.382,
2004-07,0.432,
2004-10,0.428,
2005-01,0.389,
2005-04,0.394,
2005-07,0.188,
2005-10,0.180,
2006-01,0.173,
2006-04,0.229,
2006-07,0.203,
2006-10,0.198,
2007-01,0.169,
2007-04,0.157,
2007-07,0.224,
2007-10,0.126,
2008-01,0.147,
2008-04,0.006,
2008-07,0.019,
2008-10,0.019,
2009-01,-,Nothing exists
2009-04,-,Nothing exists
2009-07,0.003,
2009-10,0.007,
2010-01,0.007,
2010-04,0.008,
2010-07,0.011,
2010-10,0.063,
2011-01,0.067,
2011-04,0.069,
2011-07,0.072,
2011-10,0.072,
2012-01,0.072,
2012-04,0.070,
2012-07,0.071,
2012-10,0.018,
2013-01,0.020,
2013-04,0.028,
2013-07,0.027,
2013-10,0.019,
2014-01,0.021,
2014-04,0.020,
2014-07,0.016,
