"",BBDE1.M.DE.Y.AEA1.A2P300000.F.C.I10.A,BBDE1.M.DE.Y.AEA1.A2P300000.F.C.I10.A_FLAGS
"",Orders received / At constant prices / Germany / Industry / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:04,
1991-01,73.0,
1991-02,69.8,
1991-03,71.0,
1991-04,69.3,
1991-05,68.8,
1991-06,69.9,
1991-07,68.2,
1991-08,71.9,
1991-09,68.3,
1991-10,69.7,
1991-11,70.9,
1991-12,71.7,
1992-01,71.0,
1992-02,71.2,
1992-03,70.6,
1992-04,68.5,
1992-05,67.0,
1992-06,65.5,
1992-07,64.0,
1992-08,64.7,
1992-09,65.1,
1992-10,61.4,
1992-11,62.0,
1992-12,63.4,
1993-01,62.3,
1993-02,60.5,
1993-03,59.2,
1993-04,59.4,
1993-05,60.7,
1993-06,59.8,
1993-07,60.5,
1993-08,60.2,
1993-09,62.6,
1993-10,61.9,
1993-11,61.9,
1993-12,64.2,
1994-01,61.2,
1994-02,63.2,
1994-03,65.3,
1994-04,65.0,
1994-05,64.1,
1994-06,65.9,
1994-07,65.5,
1994-08,64.9,
1994-09,67.8,
1994-10,68.4,
1994-11,68.7,
1994-12,71.4,
1995-01,66.3,
1995-02,67.5,
1995-03,67.6,
1995-04,66.6,
1995-05,68.0,
1995-06,65.6,
1995-07,67.7,
1995-08,64.6,
1995-09,66.9,
1995-10,64.0,
1995-11,65.4,
1995-12,66.4,
1996-01,64.7,
1996-02,63.9,
1996-03,66.4,
1996-04,66.0,
1996-05,66.1,
1996-06,67.3,
1996-07,67.0,
1996-08,67.2,
1996-09,67.1,
1996-10,68.0,
1996-11,67.5,
1996-12,67.3,
1997-01,68.3,
1997-02,68.4,
1997-03,70.7,
1997-04,71.4,
1997-05,70.3,
1997-06,71.6,
1997-07,71.5,
1997-08,72.1,
1997-09,73.6,
1997-10,73.1,
1997-11,72.5,
1997-12,73.9,
1998-01,74.8,
1998-02,74.2,
1998-03,75.7,
1998-04,75.5,
1998-05,74.4,
1998-06,74.5,
1998-07,74.6,
1998-08,72.3,
1998-09,74.5,
1998-10,71.8,
1998-11,71.1,
1998-12,73.2,
1999-01,72.2,
1999-02,72.3,
1999-03,72.7,
1999-04,73.2,
1999-05,73.6,
1999-06,75.9,
1999-07,76.4,
1999-08,79.7,
1999-09,78.5,
1999-10,79.1,
1999-11,80.1,
1999-12,80.5,
2000-01,77.4,
2000-02,82.1,
2000-03,84.0,
2000-04,84.8,
2000-05,85.0,
2000-06,86.8,
2000-07,86.8,
2000-08,87.2,
2000-09,86.8,
2000-10,87.0,
2000-11,87.3,
2000-12,88.7,
2001-01,85.7,
2001-02,86.1,
2001-03,85.3,
2001-04,82.4,
2001-05,85.1,
2001-06,85.3,
2001-07,82.7,
2001-08,83.6,
2001-09,80.8,
2001-10,79.8,
2001-11,79.8,
2001-12,83.4,
2002-01,81.7,
2002-02,81.2,
2002-03,82.9,
2002-04,83.1,
2002-05,85.4,
2002-06,84.6,
2002-07,83.4,
2002-08,85.1,
2002-09,84.0,
2002-10,83.6,
2002-11,84.9,
2002-12,82.0,
2003-01,84.4,
2003-02,84.2,
2003-03,82.4,
2003-04,82.6,
2003-05,80.6,
2003-06,83.8,
2003-07,82.8,
2003-08,83.1,
2003-09,84.8,
2003-10,85.9,
2003-11,86.2,
2003-12,88.3,
2004-01,86.3,
2004-02,87.1,
2004-03,88.4,
2004-04,89.5,
2004-05,89.9,
2004-06,88.9,
2004-07,89.9,
2004-08,88.2,
2004-09,89.8,
2004-10,89.2,
2004-11,87.7,
2004-12,93.4,
2005-01,91.0,
2005-02,89.3,
2005-03,91.1,
2005-04,90.3,
2005-05,90.8,
2005-06,93.8,
2005-07,95.9,
2005-08,93.7,
2005-09,96.7,
2005-10,98.0,
2005-11,99.3,
2005-12,98.8,
2006-01,99.6,
2006-02,100.0,
2006-03,99.1,
2006-04,101.7,
