"",BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA.O.F4.S._T.N.N,BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA.O.F4.S._T.N.N_FLAGS
"",IIP - Other Investment - Loans - General government - Short-term original maturity (up to 1 year incl. incl.) - Liabilities - Positions,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:34,
1999-10,2166,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,1579,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,1767,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,2441,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,2599,
2004-01,2769,
2004-04,2677,
2004-07,2910,
2004-10,3569,
2005-01,7896,
2005-04,9271,
2005-07,4220,
2005-10,6713,
2006-01,5161,
2006-04,3606,
2006-07,7130,
2006-10,4104,
2007-01,4102,
2007-04,6087,
2007-07,7424,
2007-10,4673,
2008-01,8468,
2008-04,13741,
2008-07,15049,
2008-10,10325,
2009-01,19829,
2009-04,17416,
2009-07,17975,
2009-10,9667,
2010-01,6629,
2010-04,8120,
2010-07,10542,
2010-10,103714,
2011-01,90809,
2011-04,88825,
2011-07,92480,
2011-10,118510,
2012-01,78830,
2012-04,71967,
2012-07,53583,
2012-10,51408,
2013-01,45272,
2013-04,47534,
2013-07,36669,
2013-10,37128,
2014-01,30427,
2014-04,34571,
2014-07,31757,
