"",BBSF2.M.1.P.00000.TOT01.I.F.MIZ.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.MIZ.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Sales receipts,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:30,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,1907,
1993-05,1697,
1993-06,2113,
1993-07,2251,
1993-08,2528,
1993-09,2397,
1993-10,3467,
1993-11,4667,
1993-12,4671,
1994-01,7130,
1994-02,4957,
1994-03,3609,
1994-04,2572,
1994-05,2655,
1994-06,2348,
1994-07,2146,
1994-08,2184,
1994-09,2632,
1994-10,3105,
1994-11,5229,
1994-12,15727,
1995-01,4996,
1995-02,4032,
1995-03,3620,
1995-04,3287,
1995-05,3773,
1995-06,4437,
1995-07,4034,
1995-08,4318,
1995-09,4134,
1995-10,4444,
1995-11,5246,
1995-12,9206,
1996-01,8934,
1996-02,7638,
1996-03,5567,
1996-04,5736,
1996-05,4960,
1996-06,4379,
1996-07,4574,
1996-08,4170,
1996-09,4020,
1996-10,4829,
1996-11,5087,
1996-12,5957,
1997-01,9872,
1997-02,8006,
1997-03,6646,
1997-04,6381,
1997-05,5091,
1997-06,6339,
1997-07,8042,
1997-08,6240,
1997-09,6588,
1997-10,5486,
1997-11,5235,
1997-12,6661,
1998-01,9715,
1998-02,8475,
1998-03,10148,
1998-04,8948,
1998-05,7349,
1998-06,7331,
1998-07,8738,
1998-08,7928,
1998-09,7117,
1998-10,6887,
1998-11,7772,
1998-12,9020,
1999-01,14521,
1999-02,10382,
1999-03,10422,
1999-04,11012,
1999-05,8884,
1999-06,10297,
1999-07,12053,
1999-08,9970,
1999-09,9563,
1999-10,10060,
1999-11,12619,
1999-12,13152,
2000-01,22454,
2000-02,20326,
2000-03,20358,
2000-04,14535,
2000-05,13582,
2000-06,10994,
2000-07,13256,
2000-08,12480,
2000-09,12301,
2000-10,13180,
2000-11,14038,
2000-12,13135,
2001-01,17522,
2001-02,14304,
2001-03,11355,
2001-04,11139,
2001-05,11116,
2001-06,10033,
2001-07,11996,
2001-08,11780,
2001-09,10808,
2001-10,13026,
2001-11,14548,
2001-12,15414,
2002-01,19277,
2002-02,15029,
2002-03,13626,
2002-04,12766,
2002-05,12905,
2002-06,14164,
2002-07,15596,
2002-08,13787,
2002-09,12486,
2002-10,16052,
2002-11,15875,
2002-12,15321,
2003-01,19679,
2003-02,16604,
2003-03,15672,
2003-04,14250,
2003-05,13213,
2003-06,14763,
2003-07,15332,
2003-08,14392,
2003-09,13110,
2003-10,11656,
2003-11,10206,
2003-12,13496,
2004-01,14675,
2004-02,12602,
2004-03,16056,
2004-04,9642,
2004-05,9616,
2004-06,8907,
2004-07,13085,
2004-08,9272,
2004-09,8217,
2004-10,10039,
2004-11,10088,
2004-12,11229,
2005-01,14484,
2005-02,13277,
2005-03,13424,
2005-04,13066,
2005-05,9013,
2005-06,14743,
2005-07,12524,
2005-08,10960,
2005-09,11040,
2005-10,11646,
2005-11,12684,
2005-12,13292,
2006-01,16330,
2006-02,15407,
2006-03,13116,
2006-04,10715,
2006-05,15556,
2006-06,11181,
2006-07,10830,
2006-08,9235,
2006-09,9668,
2006-10,10879,
2006-11,11163,
2006-12,14095,
2007-01,17253,
2007-02,16204,
2007-03,16151,
2007-04,12940,
2007-05,15586,
2007-06,13992,
2007-07,16689,
2007-08,13396,
2007-09,12762,
2007-10,14692,
2007-11,14390,
2007-12,12303,
2008-01,16528,
2008-02,11977,
2008-03,9715,
2008-04,20140,
2008-05,14560,
2008-06,11594,
2008-07,9915,
2008-08,7204,
2008-09,10097,
2008-10,8936,
2008-11,7023,
2008-12,13520,
2009-01,12493,
2009-02,6434,
2009-03,6047,
2009-04,11744,
2009-05,11434,
2009-06,6788,
2009-07,8485,
2009-08,5875,
2009-09,6794,
2009-10,10869,
2009-11,8369,
2009-12,8983,
2010-01,10923,
2010-02,8791,
2010-03,9064,
2010-04,14556,
2010-05,23423,
2010-06,9723,
2010-07,7453,
2010-08,7027,
2010-09,6163,
2010-10,8458,
2010-11,10812,
2010-12,9671,
2011-01,10761,
2011-02,7759,
2011-03,8675,
2011-04,11244,
2011-05,11202,
2011-06,8370,
2011-07,10068,
2011-08,8434,
2011-09,6508,
2011-10,6139,
2011-11,6554,
2011-12,5748,
2012-01,9010,
2012-02,6266,
2012-03,6609,
2012-04,6483,
2012-05,10622,
2012-06,6531,
2012-07,6643,
2012-08,5596,
2012-09,5691,
2012-10,5302,
2012-11,8191,
2012-12,7675,
2013-01,8780,
2013-02,7762,
2013-03,6707,
2013-04,7677,
2013-05,8710,
2013-06,9946,
2013-07,9830,
2013-08,5265,
2013-09,6511,
2013-10,8691,
2013-11,9192,
2013-12,7339,
2014-01,9847,
2014-02,12533,
2014-03,7298,
2014-04,6637,
2014-05,7106,
2014-06,7458,
2014-07,7797,
2014-08,8273,
2014-09,7343,
2014-10,9826,
2014-11,7217,
