"",BBSF2.M.1.T.00000.DSO01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DSO01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Other funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:11,
2009-09,135,
2009-10,109,
2009-11,122,
2009-12,231,
2010-01,66,
2010-02,147,
2010-03,82,
2010-04,72,
2010-05,97,
2010-06,77,
2010-07,55,
2010-08,75,
2010-09,24,
2010-10,78,
2010-11,215,
2010-12,166,
2011-01,98,
2011-02,73,
2011-03,41,
2011-04,95,
2011-05,-78,
2011-06,-70,
2011-07,-44,
2011-08,-73,
2011-09,-58,
2011-10,-70,
2011-11,-64,
2011-12,-86,
2012-01,-42,
2012-02,-45,
2012-03,51,
2012-04,1,
2012-05,-78,
2012-06,53,
2012-07,-105,
2012-08,-42,
2012-09,-44,
2012-10,-55,
2012-11,1,
2012-12,-43,
2013-01,113,
2013-02,-78,
2013-03,-96,
2013-04,33,
2013-05,-33,
2013-06,-211,
2013-07,-23,
2013-08,3,
2013-09,-38,
2013-10,154,
2013-11,-9,
2013-12,26,
2014-01,224,
2014-02,-410,
2014-03,5,
2014-04,114,
2014-05,49,
2014-06,181,
2014-07,125,
2014-08,36,
2014-09,113,
2014-10,37,
2014-11,170,
