"",BBK01.WX4204,BBK01.WX4204_FLAGS
"",Purchases of domestic and foreign debt securities by domestic non-banks,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 09:16:13,
2000-01,20180,
2000-02,11820,
2000-03,996,
2000-04,795,
2000-05,4504,
2000-06,-6398,
2000-07,12923,
2000-08,5352,
2000-09,-477,
2000-10,8445,
2000-11,-2959,
2000-12,4939,
2001-01,7378,
2001-02,6288,
2001-03,12231,
2001-04,4183,
2001-05,3865,
2001-06,-6119,
2001-07,13838,
2001-08,503,
2001-09,12032,
2001-10,6002,
2001-11,-3169,
2001-12,18402,
2002-01,13649,
2002-02,4409,
2002-03,3661,
2002-04,1104,
2002-05,6357,
2002-06,-16446,
2002-07,8680,
2002-08,-1820,
2002-09,19732,
2002-10,12514,
2002-11,3654,
2002-12,-8555,
2003-01,8336,
2003-02,20372,
2003-03,-11972,
2003-04,13334,
2003-05,2621,
2003-06,3961,
2003-07,7492,
2003-08,10795,
2003-09,2208,
2003-10,2408,
2003-11,5714,
2003-12,4539,
2004-01,-10606,
2004-02,-8226,
2004-03,9019,
2004-04,-1938,
2004-05,3093,
2004-06,20483,
2004-07,1814,
2004-08,-5949,
2004-09,-6595,
2004-10,-8323,
2004-11,2157,
2004-12,-8651,
2005-01,-1010,
2005-02,7823,
2005-03,5879,
2005-04,7261,
2005-05,-1309,
2005-06,5616,
2005-07,-6764,
2005-08,2661,
2005-09,17006,
2005-10,-1366,
2005-11,-4506,
2005-12,1686,
2006-01,23506,
2006-02,6484,
2006-03,2786,
2006-04,6044,
2006-05,22892,
2006-06,10002,
2006-07,8045,
2006-08,-8583,
2006-09,3872,
2006-10,9264,
2006-11,-13861,
2006-12,-13921,
2007-01,10067,
2007-02,12021,
2007-03,3350,
2007-04,-15997,
2007-05,10527,
2007-06,-5728,
2007-07,-17938,
2007-08,-37979,
2007-09,-21664,
2007-10,-20326,
2007-11,-16177,
2007-12,-23393,
2008-01,-4793,
2008-02,-14755,
2008-03,10425,
2008-04,-29766,
2008-05,2912,
2008-06,-19229,
2008-07,1083,Estimated value
2008-08,5015,Estimated value
2008-09,-9291,Estimated value
2008-10,6441,Estimated value
2008-11,27601,Estimated value
2008-12,-25457,Estimated value
2009-01,4663,
2009-02,-2751,
2009-03,8278,
2009-04,10158,
2009-05,7666,
2009-06,-7103,
2009-07,19140,
2009-08,-1492,
2009-09,991,
2009-10,14173,
2009-11,14697,
2009-12,8761,
2010-01,9479,
2010-02,12123,
2010-03,2535,
2010-04,-7645,
2010-05,40802,
2010-06,5934,
2010-07,-2451,
2010-08,1045,
2010-09,-3438,
2010-10,131581,
2010-11,-9736,
2010-12,15724,
2011-01,287,
2011-02,22499,
2011-03,16320,
2011-04,-12030,
2011-05,-8692,
2011-06,8380,
2011-07,3695,
2011-08,13641,
2011-09,10897,
2011-10,2408,
2011-11,20764,
2011-12,-550,
2012-01,13553,
2012-02,6751,
2012-03,15809,
2012-04,8375,
2012-05,-3133,
2012-06,-2652,
2012-07,30700,
2012-08,-3903,
2012-09,-10611,
2012-10,12030,
2012-11,-17788,
2012-12,70,
2013-01,2889,
2013-02,6128,
2013-03,7092,
2013-04,15244,
2013-05,5801,
2013-06,8804,
2013-07,-348,
2013-08,-4399,
2013-09,112,
2013-10,9735,
2013-11,-1331,
2013-12,309,
2014-01,-329,
2014-02,-8040,
2014-03,15005,
2014-04,6174,
2014-05,3471,
2014-06,5793,
2014-07,6160,
2014-08,-3899,
2014-09,9978,
2014-10,11996,
2014-11,1895,
2014-12,11036,
