"",BBEX3.M.JPY.USD.CA.AA.A02,BBEX3.M.JPY.USD.CA.AA.A02_FLAGS
"",Exchange rates for the US dollar in Japan / USD 1 = JPY ... (buying),
unit,JPY (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:19,
1980-01,237.04,
1980-02,243.07,
1980-03,247.59,
1980-04,250.94,
1980-05,227.34,
1980-06,217.15,
1980-07,219.87,
1980-08,223.46,
1980-09,214.07,
1980-10,208.33,
1980-11,211.99,
1980-12,209.08,
1981-01,201.21,
1981-02,204.92,
1981-03,207.98,
1981-04,214.32,
1981-05,219.87,
1981-06,223.47,
1981-07,231.17,
1981-08,233.07,
1981-09,229.09,
1981-10,230.57,
1981-11,223.03,
1981-12,218.05,
1982-01,223.66,
1982-02,234.21,
1982-03,239.82,
1982-04,243.97,
1982-05,236.09,
1982-06,250.09,
1982-07,254.18,
1982-08,257.84,
1982-09,262.01,
1982-10,270.44,
1982-11,264.10,
1982-12,241.65,
1983-01,231.97,
1983-02,235.25,
1983-03,237.05,
1983-04,236.78,
1983-05,233.78,
1983-06,239.20,
1983-07,239.47,
1983-08,243.32,
1983-09,241.84,
1983-10,231.98,
1983-11,234.28,
1983-12,233.36,
1984-01,232.94,
1984-02,232.70,
1984-03,224.43,
1984-04,224.06,
1984-05,229.77,
1984-06,232.33,
1984-07,241.92,
1984-08,241.40,
1984-09,244.35,
1984-10,245.89,
1984-11,242.42,
1984-12,246.99,
1985-01,253.17,
1985-02,259.38,
1985-03,257.65,
1985-04,250.76,
1985-05,250.59,
1985-06,248.01,
1985-07,240.76,
1985-08,236.26,
1985-09,236.07,
1985-10,213.85,
1985-11,202.69,
1985-12,201.83,
1986-01,199.19,
1986-02,183.66,
1986-03,178.03,
1986-04,174.60,
1986-05,165.97,
1986-06,166.96,
1986-07,157.64,
1986-08,153.00,
1986-09,153.76,
1986-10,155.08,
1986-11,161.78,
1986-12,161.26,
1987-01,153.77,
1987-02,152.50,
1987-03,150.59,
1987-04,141.97,
1987-05,139.55,
1987-06,143.58,
1987-07,149.22,
1987-08,146.65,
1987-09,141.96,
1987-10,142.59,
1987-11,134.30,
1987-12,127.41,
1988-01,126.68,
1988-02,128.23,
1988-03,126.28,
1988-04,123.98,
1988-05,123.80,
1988-06,126.20,
1988-07,132.15,
1988-08,132.67,
1988-09,133.50,
1988-10,128.02,
1988-11,122.25,
1988-12,122.63,
1989-01,126.28,
1989-02,126.87,
1989-03,129.41,
1989-04,131.11,
1989-05,137.46,
1989-06,142.72,
1989-07,139.80,
1989-08,140.14,
1989-09,144.15,
1989-10,140.82,
1989-11,142.58,
1989-12,142.66,
1990-01,144.09,
1990-02,144.51,
1990-03,152.11,
1990-04,157.50,
1990-05,152.62,
1990-06,152.77,
1990-07,148.34,
1990-08,146.38,
1990-09,138.04,
1990-10,128.83,
1990-11,128.07,
1990-12,132.71,
1991-01,132.75,
1991-02,129.49,
1991-03,136.15,
1991-04,136.11,
1991-05,137.04,
1991-06,138.77,
1991-07,137.00,
1991-08,135.84,
1991-09,133.58,
1991-10,129.77,
1991-11,128.70,
1991-12,127.13,
1992-01,124.06,
1992-02,126.49,
1992-03,131.73,
1992-04,132.62,
1992-05,129.64,
1992-06,125.85,
1992-07,124.69,
1992-08,125.35,
1992-09,121.73,
1992-10,120.08,
1992-11,122.81,
1992-12,123.03,
1993-01,123.99,
1993-02,120.14,
1993-03,116.13,
1993-04,111.46,
1993-05,109.26,
1993-06,106.34,
1993-07,106.83,
1993-08,102.68,
1993-09,104.27,
1993-10,105.94,
1993-11,106.81,
1993-12,108.67,
1994-01,110.58,
1994-02,105.25,
1994-03,104.13,
1994-04,102.56,
1994-05,102.99,
1994-06,101.72,
1994-07,97.57,
1994-08,98.87,
1994-09,97.85,
1994-10,97.45,
1994-11,97.00,
1994-12,99.20,
1995-01,98.77,
1995-02,97.33,
1995-03,89.87,
1995-04,82.66,
1995-05,84.16,
1995-06,83.54,
1995-07,86.20,
1995-08,93.61,
1995-09,99.45,
1995-10,99.74,
1995-11,101.01,
1995-12,100.90,
1996-01,104.88,
1996-02,104.72,
1996-03,104.91,
1996-04,106.54,
1996-05,105.53,
1996-06,107.93,
1996-07,108.39,
1996-08,106.81,
1996-09,108.78,
1996-10,111.42,
1996-11,111.29,
1996-12,112.87,
1997-01,117.08,
1997-02,122.07,
1997-03,121.69,
1997-04,124.56,
1997-05,118.06,
1997-06,113.43,
1997-07,114.23,
1997-08,116.96,
1997-09,119.72,
