"",BBK01.OEHM01O,BBK01.OEHM01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:41:26,
2002-01,0.814,
2002-04,0.844,
2002-07,0.773,
2002-10,0.910,
2003-01,0.725,
2003-04,0.769,
2003-07,0.698,
2003-10,0.855,
2004-01,0.665,
2004-04,0.703,
2004-07,0.698,
2004-10,0.895,
2005-01,0.703,
2005-04,0.776,
2005-07,0.829,
2005-10,0.957,
2006-01,0.757,
2006-04,0.862,
2006-07,0.896,
2006-10,1.021,
2007-01,0.841,
2007-04,0.904,
2007-07,0.898,
2007-10,1.132,
2008-01,0.884,
2008-04,0.985,
2008-07,1.001,
2008-10,1.115,
2009-01,1.019,
2009-04,0.988,
2009-07,0.958,
2009-10,1.224,
2010-01,0.971,
2010-04,1.063,
2010-07,1.022,
2010-10,1.269,
2011-01,1.032,
2011-04,1.191,
2011-07,1.132,
2011-10,1.263,
2012-01,1.122,
2012-04,1.239,
2012-07,1.204,
2012-10,1.755,
2013-01,1.248,
2013-04,1.281,
2013-07,1.202,
2013-10,1.597,
2014-01,1.033,
2014-04,1.095,
2014-07,1.104,
