"",BBK01.PQE354,BBK01.PQE354_FLAGS
"",Lending to domestic enterprises / Total / Branches of foreign banks,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 10:23:13,
1968-10,0.856,
1969-01,0.923,
1969-04,0.907,
1969-07,0.965,
1969-10,1.157,
1970-01,1.321,
1970-04,1.468,
1970-07,1.505,
1970-10,1.416,
1971-01,1.345,
1971-04,1.575,
1971-07,1.842,
1971-10,2.094,
1972-01,2.815,
1972-04,3.221,
1972-07,3.346,
1972-10,3.920,
1973-01,3.955,
1973-04,3.909,
1973-07,4.224,
1973-10,4.351,
1974-01,4.558,
1974-04,5.054,
1974-07,5.080,
1974-10,4.690,
1975-01,4.614,
1975-04,4.448,
1975-07,4.391,
1975-10,4.503,
1976-01,4.127,
1976-04,4.223,
1976-07,3.893,
1976-10,4.212,
1977-01,4.090,
1977-04,3.904,
1977-07,3.792,
1977-10,4.011,
1978-01,3.519,
1978-04,3.567,
1978-07,3.847,
1978-10,4.130,
1979-01,3.830,
1979-04,4.019,
1979-07,4.210,
1979-10,4.440,
1980-01,4.309,
1980-04,4.274,
1980-07,4.494,
1980-10,5.202,
1981-01,5.257,
1981-04,5.337,
1981-07,5.453,
1981-10,5.931,
1982-01,5.179,
1982-04,5.262,
1982-07,5.453,
1982-10,5.595,
1983-01,5.841,
1983-04,5.693,
1983-07,6.153,
1983-10,6.760,
1984-01,6.936,
1984-04,7.122,
1984-07,7.569,
1984-10,7.797,
1985-01,7.896,
1985-04,7.885,
1985-07,7.930,
1985-10,8.279,
1986-01,8.555,
1986-04,7.543,
1986-07,7.393,
1986-10,6.489,
1987-01,6.481,
1987-04,5.957,
1987-07,6.389,
1987-10,5.750,
1988-01,6.269,
1988-04,5.715,
1988-07,6.119,
1988-10,6.157,
1989-01,6.469,
1989-04,6.328,
1989-07,6.454,
1989-10,6.054,
1990-01,6.404,
1990-04,5.941,
1990-07,5.787,
1990-10,5.364,
1991-01,5.800,
1991-04,6.098,
1991-07,6.214,
1991-10,6.080,
1992-01,6.218,
1992-04,6.135,
1992-07,5.862,
1992-10,5.892,
1993-01,6.127,
1993-04,6.320,
1993-07,6.417,
1993-10,6.180,
1994-01,6.555,
1994-04,6.734,
1994-07,6.866,
1994-10,6.510,
1995-01,8.442,
1995-04,8.301,
1995-07,8.383,
1995-10,8.659,
1996-01,8.939,
1996-04,9.730,
1996-07,9.957,
1996-10,10.845,
1997-01,10.962,
1997-04,13.213,
1997-07,11.375,
1997-10,11.644,
1998-01,13.645,
1998-04,14.435,
1998-07,14.006,
1998-10,14.724,
1999-01,15.561,
1999-04,14.997,
1999-07,15.960,
1999-10,16.255,
2000-01,24.069,
2000-04,18.678,
2000-07,20.161,
2000-10,19.441,
2001-01,28.051,
2001-04,22.745,
2001-07,22.033,
2001-10,22.098,
2002-01,25.373,
2002-04,20.442,
2002-07,20.209,
2002-10,20.215,
2003-01,23.492,
2003-04,19.303,
2003-07,19.448,
2003-10,19.293,
2004-01,21.110,
2004-04,18.917,
2004-07,19.276,
2004-10,18.405,
2005-01,20.242,
2005-04,22.524,
2005-07,26.650,
2005-10,26.346,
2006-01,25.617,
2006-04,27.360,
2006-07,28.514,
2006-10,26.986,
2007-01,30.615,
2007-04,31.645,
2007-07,33.772,
2007-10,37.168,
2008-01,40.989,
2008-04,43.170,
2008-07,44.214,
2008-10,44.495,
2009-01,42.512,
2009-04,41.307,
2009-07,39.701,
2009-10,36.849,
2010-01,35.153,
2010-04,35.763,
2010-07,34.967,
2010-10,35.189,
2011-01,35.274,
2011-04,33.394,
2011-07,32.528,
2011-10,32.280,
2012-01,32.685,
2012-04,32.610,
2012-07,31.139,
2012-10,26.568,
2013-01,26.217,
2013-04,25.670,
2013-07,24.431,
2013-10,24.091,
2014-01,24.662,
2014-04,25.659,
2014-07,26.736,
2014-10,29.285,
