"",BBK01.CEFYN0,BBK01.CEFYN0_FLAGS
"",Trade credits and advances                                    debtor: Rest of the world                  creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:31,
1999-01,101.6,
1999-04,104.7,
1999-07,105.7,
1999-10,109.0,
2000-01,117.3,
2000-04,119.3,
2000-07,122.9,
2000-10,124.7,
2001-01,127.4,
2001-04,129.1,
2001-07,127.4,
2001-10,123.7,
2002-01,118.7,
2002-04,123.2,
2002-07,120.3,
2002-10,118.9,
2003-01,120.3,
2003-04,118.1,
2003-07,116.5,
2003-10,115.8,
2004-01,119.4,
2004-04,123.3,
2004-07,121.3,
2004-10,119.1,
2005-01,123.9,
2005-04,128.2,
2005-07,130.5,
2005-10,129.4,
2006-01,136.8,
2006-04,137.8,
2006-07,137.7,
2006-10,139.6,
2007-01,146.9,
2007-04,148.0,
2007-07,148.1,
2007-10,147.1,
2008-01,154.3,
2008-04,160.5,
2008-07,158.1,
2008-10,149.6,
2009-01,143.0,
2009-04,143.0,
2009-07,139.6,
2009-10,139.5,
2010-01,144.2,
2010-04,151.5,
2010-07,152.3,
2010-10,152.5,
2011-01,164.2,
2011-04,166.8,
2011-07,169.3,
2011-10,168.3,
2012-01,177.4,
2012-04,180.6,
2012-07,178.4,
2012-10,172.3,
2013-01,178.0,
2013-04,177.8,
2013-07,174.9,
2013-10,174.9,
2014-01,178.2,
2014-04,179.1,
2014-07,181.9,
