"",BBFN1.M.DE.N.1.L.PA.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PA.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Panama,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:56,
1994-12,0.617,
1995-01,0.599,
1995-02,0.434,
1995-03,0.579,
1995-04,0.580,
1995-05,0.601,
1995-06,0.622,
1995-07,0.601,
1995-08,0.616,
1995-09,0.628,
1995-10,0.614,
1995-11,0.381,
1995-12,0.518,
1996-01,0.557,
1996-02,0.537,
1996-03,0.575,
1996-04,0.593,
1996-05,0.585,
1996-06,0.601,
1996-07,0.625,
1996-08,0.604,
1996-09,0.585,
1996-10,0.629,
1996-11,0.467,
1996-12,0.637,
1997-01,0.648,
1997-02,0.656,
1997-03,0.648,
1997-04,0.667,
1997-05,0.610,
1997-06,0.616,
1997-07,0.606,
1997-08,0.918,
1997-09,0.841,
1997-10,0.709,
1997-11,0.505,
1997-12,0.736,
1998-01,0.739,
1998-02,0.731,
1998-03,0.721,
1998-04,0.720,
1998-05,0.764,
1998-06,0.706,
1998-07,0.754,
1998-08,0.770,
1998-09,0.727,
1998-10,0.664,
1998-11,0.366,
1998-12,0.615,
1999-01,0.627,
1999-02,0.605,
1999-03,0.641,
1999-04,0.682,
1999-05,0.664,
1999-06,0.677,
1999-07,0.739,
1999-08,0.771,
1999-09,0.812,
1999-10,0.824,
1999-11,0.566,
1999-12,0.635,
2000-01,0.639,
2000-02,0.648,
2000-03,0.723,
2000-04,0.698,
2000-05,0.703,
2000-06,0.775,
2000-07,0.791,
2000-08,0.774,
2000-09,0.849,
2000-10,0.320,
2000-11,0.366,
2000-12,0.348,
2001-01,0.317,
2001-02,0.258,
2001-03,0.243,
2001-04,0.256,
2001-05,0.271,
2001-06,0.303,
2001-07,0.244,
2001-08,0.312,
2001-09,0.285,
2001-10,0.275,
2001-11,0.314,
2001-12,0.304,
2002-01,0.286,
2002-02,0.262,
2002-03,0.260,
2002-04,0.301,
2002-05,0.307,
2002-06,0.294,
2002-07,0.227,
2002-08,0.296,
2002-09,0.286,
2002-10,0.322,
2002-11,0.327,
2002-12,0.286,
2003-01,0.207,
2003-02,0.320,
2003-03,0.328,
2003-04,0.321,
2003-05,0.459,
2003-06,0.450,
2003-07,0.517,
2003-08,0.473,
2003-09,0.395,
2003-10,0.332,
2003-11,0.351,
2003-12,0.385,
2004-01,0.369,
2004-02,0.303,
2004-03,0.270,
2004-04,0.099,
2004-05,0.173,
2004-06,0.211,
2004-07,0.167,
2004-08,0.237,
2004-09,0.183,
2004-10,0.210,
2004-11,0.242,
2004-12,0.221,
2005-01,0.278,
2005-02,0.162,
2005-03,0.120,
2005-04,0.240,
2005-05,0.193,
2005-06,0.232,
2005-07,0.231,
2005-08,0.226,
2005-09,0.141,
2005-10,0.254,
2005-11,0.206,
2005-12,0.368,
2006-01,0.345,
2006-02,0.430,
2006-03,0.420,
2006-04,0.535,
2006-05,0.736,
2006-06,1.015,
2006-07,0.851,
2006-08,0.415,
2006-09,0.518,
2006-10,0.523,
2006-11,0.677,
2006-12,0.710,
2007-01,0.707,
2007-02,0.779,
2007-03,0.781,
2007-04,0.397,
2007-05,0.299,
2007-06,0.331,
2007-07,0.329,
2007-08,0.483,
2007-09,0.377,
2007-10,0.338,
2007-11,0.189,
2007-12,0.216,
2008-01,0.733,
2008-02,1.148,
2008-03,1.175,
2008-04,1.165,
2008-05,1.171,
2008-06,1.206,
2008-07,1.137,
2008-08,1.137,
2008-09,1.140,
2008-10,1.144,
2008-11,1.068,
2008-12,1.052,
2009-01,1.062,
2009-02,1.083,
2009-03,1.095,
2009-04,1.061,
2009-05,1.062,
2009-06,1.035,
2009-07,1.067,
2009-08,1.066,
2009-09,1.166,
2009-10,1.180,
2009-11,1.083,
2009-12,1.088,
2010-01,1.091,
2010-02,1.102,
2010-03,1.128,
2010-04,1.103,
2010-05,1.101,
2010-06,1.104,
2010-07,1.125,
2010-08,1.133,
2010-09,1.146,
2010-10,1.142,
2010-11,1.145,
2010-12,1.207,
2011-01,0.656,
2011-02,0.223,
2011-03,0.196,
2011-04,0.270,
2011-05,0.176,
2011-06,0.209,
2011-07,0.227,
2011-08,0.189,
2011-09,0.201,
2011-10,0.215,
2011-11,0.204,
2011-12,0.150,
2012-01,0.152,
2012-02,0.202,
2012-03,0.234,
2012-04,0.204,
2012-05,0.237,
2012-06,0.246,
2012-07,0.247,
2012-08,0.244,
2012-09,0.249,
2012-10,0.249,
2012-11,0.247,
2012-12,0.238,
2013-01,0.246,
2013-02,0.242,
2013-03,0.257,
2013-04,0.244,
2013-05,0.244,
2013-06,0.245,
2013-07,0.218,
2013-08,0.206,
2013-09,0.312,
2013-10,0.194,
2013-11,0.186,
2013-12,0.197,
2014-01,0.195,
2014-02,0.204,
2014-03,0.224,
2014-04,0.182,
2014-05,0.180,
2014-06,0.194,
2014-07,0.189,
2014-08,0.201,
2014-09,0.214,
2014-10,0.185,
2014-11,0.176,
2014-12,0.188,
