"",BBK01.OEYI04G,BBK01.OEYI04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:54,
2002-01,10.020,
2002-04,10.209,
2002-07,11.981,
2002-10,10.208,
2003-01,11.013,
2003-04,9.253,
2003-07,11.381,
2003-10,10.943,
2004-01,11.674,
2004-04,9.496,
2004-07,7.727,
2004-10,8.932,
2005-01,8.909,
2005-04,10.527,
2005-07,10.635,
2005-10,13.399,
2006-01,14.878,
2006-04,12.671,
2006-07,15.630,
2006-10,15.719,
2007-01,16.592,
2007-04,19.615,
2007-07,22.260,
2007-10,25.459,
2008-01,26.720,
2008-04,31.986,
2008-07,44.993,
2008-10,37.713,
2009-01,36.395,
2009-04,32.140,
2009-07,30.855,
2009-10,35.598,
2010-01,27.185,
2010-04,28.651,
2010-07,35.072,
2010-10,29.212,
2011-01,36.190,
2011-04,33.524,
2011-07,29.589,
2011-10,26.681,
2012-01,26.051,
2012-04,27.532,
2012-07,25.964,
2012-10,25.385,
2013-01,19.652,
2013-04,14.003,
2013-07,11.245,
2013-10,13.972,
2014-01,12.037,
2014-04,13.513,
2014-07,14.565,
