"",BBK01.OEAN04S,BBK01.OEAN04S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:15,
2002-01,5.939,
2002-04,5.742,
2002-07,5.804,
2002-10,6.144,
2003-01,6.304,
2003-04,6.230,
2003-07,6.521,
2003-10,6.709,
2004-01,6.760,
2004-04,6.800,
2004-07,6.851,
2004-10,7.034,
2005-01,8.128,
2005-04,8.174,
2005-07,8.151,
2005-10,8.319,
2006-01,8.356,
2006-04,8.237,
2006-07,8.152,
2006-10,8.170,
2007-01,7.998,
2007-04,7.879,
2007-07,7.743,
2007-10,7.820,
2008-01,7.716,
2008-04,7.662,
2008-07,7.552,
2008-10,7.672,
2009-01,7.758,
2009-04,7.836,
2009-07,8.146,
2009-10,8.713,
2010-01,8.804,
2010-04,8.926,
2010-07,9.018,
2010-10,9.727,
2011-01,9.767,
2011-04,9.674,
2011-07,9.727,
2011-10,9.961,
2012-01,10.065,
2012-04,10.008,
2012-07,10.031,
2012-10,10.262,
2013-01,10.231,
2013-04,10.318,
2013-07,10.404,
2013-10,10.582,
2014-01,10.555,
2014-04,10.594,
2014-07,10.671,
