"",BBK01.OXA8I3,BBK01.OXA8I3_FLAGS
"",Loans to non-financial corporations domiciled in euro-area member-states (including domestic) - Total All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:17,
2009-12,901.046,
2010-01,902.908,
2010-02,906.267,
2010-03,898.477,
2010-04,896.722,
2010-05,903.221,
2010-06,904.481,
2010-07,897.244,
2010-08,898.066,
2010-09,892.918,
2010-10,889.612,
2010-11,898.441,
2010-12,893.062,
2011-01,891.497,
2011-02,898.477,
2011-03,897.317,
2011-04,893.310,
2011-05,896.046,
2011-06,898.518,
2011-07,899.757,
2011-08,900.071,
2011-09,905.921,
2011-10,904.330,
2011-11,910.419,
2011-12,906.105,
2012-01,908.871,
2012-02,912.048,
2012-03,913.254,
2012-04,910.503,
2012-05,917.750,
2012-06,917.509,
2012-07,922.361,
2012-08,920.273,
2012-09,919.360,
2012-10,913.061,
2012-11,917.319,
2012-12,908.423,
2013-01,905.109,
2013-02,910.610,
2013-03,912.821,
2013-04,908.420,
2013-05,909.713,
2013-06,908.761,
2013-07,905.970,
2013-08,903.569,
2013-09,901.086,
2013-10,899.349,
2013-11,903.311,
2013-12,899.273,
2014-01,900.559,
2014-02,901.474,
2014-03,900.345,
2014-04,903.567,
2014-05,906.928,
2014-06,906.732,
2014-07,904.193,
2014-08,906.265,
2014-09,907.349,
2014-10,907.666,
2014-11,912.631,
2014-12,890.247,Provisional value
