"",BBK01.OEAH87P,BBK01.OEAH87P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:54,
2002-01,0.376,
2002-04,0.229,
2002-07,0.350,
2002-10,0.443,
2003-01,0.501,
2003-04,0.577,
2003-07,0.674,
2003-10,0.930,
2004-01,0.708,
2004-04,0.554,
2004-07,0.649,
2004-10,0.594,
2005-01,0.614,
2005-04,0.654,
2005-07,0.611,
2005-10,0.628,
2006-01,0.595,
2006-04,0.610,
2006-07,0.632,
2006-10,0.659,
2007-01,0.701,
2007-04,0.685,
2007-07,0.654,
2007-10,0.741,
2008-01,0.842,
2008-04,0.740,
2008-07,0.836,
2008-10,0.792,
2009-01,0.663,
2009-04,0.233,
2009-07,0.257,
2009-10,0.251,
2010-01,0.255,
2010-04,0.175,
2010-07,0.339,
2010-10,0.489,
2011-01,0.457,
2011-04,0.518,
2011-07,0.702,
2011-10,0.900,
2012-01,0.928,
2012-04,1.315,
2012-07,1.007,
2012-10,0.687,
2013-01,0.658,
2013-04,0.534,
2013-07,0.252,
2013-10,0.249,
2014-01,0.066,
2014-04,0.086,
2014-07,0.097,
