"",BBK01.DQ7802,BBK01.DQ7802_FLAGS
"","Basic pay rates, overall economy, excluding ancillary benefits, excluding one-off payments, on a monthly basis, Germany",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-11 13:06:17,
1991-01,56.4,
1991-04,58.7,
1991-07,60.4,
1991-10,60.7,
1992-01,61.3,
1992-04,65.3,
1992-07,66.4,
1992-10,66.7,
1993-01,67.7,
1993-04,69.2,
1993-07,70.2,
1993-10,70.3,
1994-01,70.3,
1994-04,70.9,
1994-07,71.8,
1994-10,72.2,
1995-01,72.7,
1995-04,74.2,
1995-07,75.2,
1995-10,75.7,
1996-01,75.9,
1996-04,76.3,
1996-07,76.6,
1996-10,76.8,
1997-01,77.2,
1997-04,77.6,
1997-07,78.0,
1997-10,78.1,
1998-01,78.6,
1998-04,79.1,
1998-07,79.5,
1998-10,79.7,
1999-01,80.0,
1999-04,81.2,
1999-07,81.9,
1999-10,82.1,
2000-01,82.2,
2000-04,83.0,
2000-07,83.7,
2000-10,84.0,
2001-01,84.3,
2001-04,84.9,
2001-07,85.5,
2001-10,85.8,
2002-01,86.2,
2002-04,86.6,
2002-07,87.4,
2002-10,87.8,
2003-01,88.3,
2003-04,88.9,
2003-07,89.3,
2003-10,89.3,
2004-01,89.4,
2004-04,89.8,
2004-07,90.2,
2004-10,90.4,
2005-01,90.6,
2005-04,90.8,
2005-07,91.0,
2005-10,91.2,
2006-01,91.2,
2006-04,91.5,
2006-07,91.8,
2006-10,92.0,
2007-01,92.2,
2007-04,92.6,
2007-07,93.4,
2007-10,93.6,
2008-01,94.9,
2008-04,95.8,
2008-07,96.4,
2008-10,96.6,
2009-01,97.3,
2009-04,98.2,
2009-07,98.6,
2009-10,99.0,
2010-01,99.5,
2010-04,99.9,
2010-07,100.2,
2010-10,100.4,
2011-01,100.7,
2011-04,101.6,
2011-07,102.3,
2011-10,102.6,
2012-01,103.4,
2012-04,104.4,
2012-07,105.4,
2012-10,105.6,
2013-01,106.4,
2013-04,106.7,
2013-07,107.9,
2013-10,108.2,
2014-01,109.3,
2014-04,110.4,
2014-07,111.0,
2014-10,111.3,
