"",BBK01.OEAA38T,BBK01.OEAA38T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:32,
2002-01,0.395,
2002-04,0.389,
2002-07,0.384,
2002-10,0.408,
2003-01,0.398,
2003-04,0.411,
2003-07,0.407,
2003-10,0.408,
2004-01,0.397,
2004-04,0.397,
2004-07,0.397,
2004-10,0.417,
2005-01,0.423,
2005-04,0.414,
2005-07,0.411,
2005-10,0.402,
2006-01,0.395,
2006-04,0.403,
2006-07,0.412,
2006-10,0.380,
2007-01,0.386,
2007-04,0.385,
2007-07,0.385,
2007-10,0.365,
2008-01,0.359,
2008-04,0.355,
2008-07,0.356,
2008-10,0.344,
2009-01,0.342,
2009-04,0.342,
2009-07,0.329,
2009-10,0.327,
2010-01,0.320,
2010-04,0.339,
2010-07,0.342,
2010-10,0.336,
2011-01,0.353,
2011-04,0.358,
2011-07,0.362,
2011-10,0.356,
2012-01,0.354,
2012-04,0.357,
2012-07,0.389,
2012-10,0.383,
2013-01,0.385,
2013-04,0.389,
2013-07,0.395,
2013-10,0.392,
2014-01,0.390,
2014-04,0.394,
2014-07,0.400,
